Country;Date;Status;Note;ATTR_ENDPOINT
Saint Lucia;06 Dec 2000;In Force;;nan
Saint Vincent and the Grenadines;04 Dec 2001;In Force;;nan
Samoa;30 Jun 2008;In Force;;nan
San Marino;15 Mar 2000;In Force;;nan
Sao Tome and Principe;04 May 2005;In Force;;nan
Saudi Arabia;08 Oct 2001;In Force;;nan
Senegal;01 Jun 2000;In Force;;nan
Serbia;10 Jul 2003;In Force;;nan
Seychelles;28 Sep 1999;In Force;;nan
Sierra Leone;10 Jun 2011;In Force;;nan
Singapore;14 Jun 2001;In Force;;nan
Slovakia;20 Dec 1999;In Force;;nan
Slovenia;08 May 2001;In Force;;nan
Solomon Islands;13 Apr 2012;In Force;;nan
Somalia;20 Mar 2014;In Force;;nan
South Africa;07 Jun 2000;In Force;;nan
South Sudan;29 Apr 2012;In Force;;nan
Spain;02 Apr 2001;In Force;;nan
Sri Lanka;01 Mar 2001;In Force;;nan
Sudan;07 Mar 2003;In Force;;nan
Suriname;12 Apr 2006;In Force;;nan
Sweden;13 Jun 2001;In Force;;nan
Switzerland;28 Jun 2000;In Force;;nan
Syrian Arab Republic;22 May 2003;In Force;;nan
Tajikistan;08 Jun 2005;In Force;;nan
Thailand;16 Feb 2001;In Force;;nan
Timor-Leste;16 Jun 2009;In Force;;nan
Togo;19 Sep 2000;In Force;;nan
Tonga;04 Aug 2020;In Force;;nan
Trinidad and Tobago;23 Apr 2003;In Force;;nan
Tunisia;28 Feb 2000;In Force;;nan
Turkmenistan;15 Nov 2010;In Force;;nan
Tuvalu;11 Jun 2019;In Force;;nan
Türkiye;02 Aug 2001;In Force;;nan
Uganda;21 Jun 2001;In Force;;nan
Ukraine;14 Dec 2000;In Force;;nan
United Arab Emirates;28 Jun 2001;In Force;;nan
United Kingdom of Great Britain and Northern Ireland;22 Mar 2000;In Force;;nan
United Republic of Tanzania;12 Sep 2001;In Force;;nan
United States of America;02 Dec 1999;In Force;;nan
Uruguay;03 Aug 2001;In Force;;nan
Uzbekistan;24 Jun 2008;In Force;;nan
Vanuatu;28 Aug 2006;In Force;;nan
Venezuela (Bolivarian Republic of);26 Oct 2005;In Force;;nan
Viet Nam;19 Dec 2000;In Force;;nan
Yemen;15 Jun 2000;In Force;;nan
Zambia;10 Dec 2001;In Force;;nan
Zimbabwe;11 Dec 2000;In Force;;nan
