COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
United Kingdom;0.964;2022.0;nan
Nigeria;0.489;2022.0;nan
Niger;0.292;2022.0;nan
Papua New Guinea;0.214;2022.0;nan
El Salvador;0.82;2022.0;nan
Guinea;0.389;2022.0;nan
Democratic Republic of the Congo;0.268;2022.0;nan
Equatorial Guinea;0.58;2022.0;nan
Central African Republic;0.193;2022.0;nan
Sierra Leone;0.503;2022.0;nan
Afghanistan;0.536;2022.0;nan
Chad;0.188;2022.0;nan
