GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;SEX;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
Yth_curr_tob_use;PUBLISHED;2020;AMR;SLV;BTSX;13.1;13.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DMA;MLE;30.4;30.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DMA;FMLE;19.8;19.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DMA;BTSX;25.3;25.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DOM;MLE;8.3;8.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DOM;FMLE;6.0;6.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;DOM;BTSX;7.4;7.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;ECU;MLE;15.3;15.3;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;ECU;FMLE;10.7;10.7;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;ECU;BTSX;13.0;13.0;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;PRY;MLE;8.8;8.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;NIC;FMLE;11.8;11.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;NIC;BTSX;14.2;14.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;KNA;MLE;10.4;10.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;KNA;FMLE;7.8;7.8;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;KNA;BTSX;9.2;9.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;LCA;MLE;12.4;12.4;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;LCA;FMLE;8.1;8.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;LCA;BTSX;10.2;10.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;PRY;FMLE;7.2;7.2;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
Yth_curr_tob_use;PUBLISHED;2020;AMR;PRY;BTSX;8.1;8.1;;;;;;http://apps.who.int/gho/athena/api/GHO/Yth_curr_tob_use.csv
