COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
TCD;Chad;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;DK;DNK;DNK;nan
