COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AZE;Azerbaijan;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BW;BWA;BWA;nan
