Country;Date;Status;Note;ATTR_ENDPOINT
Albania;18 Aug 2004;In Force;;nan
Algeria;19 Oct 1962;In Force;;nan
Angola;04 Jun 1976;In Force;;nan
Antigua and BarbudaExcluding Part II;02 Feb 1983;In Force;;nan
Argentina;17 Feb 1955;In Force;;nan
Armenia;17 Dec 2004;In Force;;nan
AustraliaExcluding Part II;24 Jun 1975;In Force;;nan
Austria;30 Apr 1949;In Force;;nan
AzerbaijanHas ratified the Protocol of 1995;09 Aug 2000;In Force;;nan
Bahamas;25 May 1976;In Force;;nan
Bahrain;11 Jun 1981;In Force;;nan
Bangladesh;22 Jun 1972;In Force;;nan
BarbadosExcluding Part II;08 May 1967;In Force;;nan
Belarus;25 Sep 1995;In Force;;nan
Belgium;05 Apr 1957;In Force;;nan
Belize;15 Dec 1983;In Force;;nan
Benin;11 Jun 2001;In Force;;nan
Bolivia (Plurinational State of);15 Nov 1973;In Force;;nan
Bosnia and Herzegovina;02 Jun 1993;In Force;;nan
Botswana;22 Dec 2022;Not in force;The Convention will enter into force for Botswana on 22 Dec 2023.;nan
Brazil;11 Oct 1989;In Force;;nan
Bulgaria;29 Dec 1949;In Force;;nan
Burkina Faso;21 May 1974;In Force;;nan
Burundi;30 Jul 1971;In Force;;nan
Cabo Verde;16 Oct 1979;In Force;;nan
CameroonExcluding Part II;03 Sep 1962;In Force;;nan
Canada;17 Jun 2019;In Force;;nan
Central African Republic;09 Jun 1964;In Force;;nan
Chad;30 Nov 1965;In Force;;nan
ColombiaExcluding Part II;13 Nov 1967;In Force;;nan
Comoros;23 Oct 1978;In Force;;nan
Congo;26 Nov 1999;In Force;;nan
Costa Rica;02 Jun 1960;In Force;;nan
Croatia;08 Oct 1991;In Force;;nan
Cuba;07 Sep 1954;In Force;;nan
CyprusHas ratified the Protocol of 1995;23 Sep 1960;In Force;;nan
Czechia;16 Mar 2011;In Force;;nan
Côte d'Ivoire;05 Jun 1987;In Force;;nan
Democratic Republic of the Congo;19 Apr 1968;In Force;;nan
Denmark;06 Aug 1958;In Force;;nan
Djibouti;03 Aug 1978;In Force;;nan
Dominica;28 Feb 1983;In Force;;nan
Dominican Republic;22 Sep 1953;In Force;;nan
Ecuador;26 Aug 1975;In Force;;nan
Egypt;11 Oct 1956;In Force;;nan
El Salvador;15 Jun 1995;In Force;;nan
Estonia;01 Feb 2005;In Force;;nan
Eswatini;05 Jun 1981;In Force;;nan
Fiji;28 May 2008;In Force;;nan
FinlandHas ratified the Protocol of 1995;20 Jan 1950;In Force;;nan
France;16 Dec 1950;In Force;;nan
Gabon;17 Jul 1972;In Force;;nan
Germany;14 Jun 1955;In Force;;nan
Ghana;02 Jul 1959;In Force;;nan
Greece;16 Jun 1955;In Force;;nan
GrenadaExcluding Part II;09 Jul 1979;In Force;;nan
Guatemala;13 Feb 1952;In Force;;nan
Guinea;26 Mar 1959;In Force;;nan
Guinea - Bissau;21 Feb 1977;In Force;;nan
