goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;51;Armenia;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;51;Armenia;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;142;Asia;2015.0;58.16;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;142;Asia;2020.0;65.53;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;36;Australia;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;36;Australia;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;53;Australia and New Zealand;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;53;Australia and New Zealand;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;40;Austria;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;40;Austria;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;31;Azerbaijan;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;31;Azerbaijan;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;44;Bahamas;2015.0;16.67;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;44;Bahamas;2020.0;20;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;48;Bahrain;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;48;Bahrain;2020.0;60;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;50;Bangladesh;2015.0;50;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;50;Bangladesh;2020.0;60;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;52;Barbados;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;52;Barbados;2020.0;80;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;112;Belarus;2015.0;50;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
