Country;Date;Status;Note;ATTR_ENDPOINT
Angola;04 Jun 1976;In Force;;nan
Argentina;18 Jan 1960;Not in force;Automatic Denunciation on 03 Jul 2001 by convention C169;nan
Bangladesh;22 Jun 1972;In Force;;nan
Belgium;19 Nov 1958;In Force;;nan
Bolivia (Plurinational State of);12 Jan 1965;Not in force;Automatic Denunciation on 10 Dec 1992 by convention C169;nan
Brazil;18 Jun 1965;Not in force;Automatic Denunciation on 25 Jul 2003 by convention C169;nan
Colombia;04 Mar 1969;Not in force;Automatic Denunciation on 06 Aug 1992 by convention C169;nan
Costa Rica;04 May 1959;Not in force;Automatic Denunciation on 02 Apr 1994 by convention C169;nan
Cuba;02 Jun 1958;In Force;;nan
Dominican Republic;23 Jun 1958;In Force;;nan
Ecuador;03 Oct 1969;Not in force;Automatic Denunciation on 15 May 1999 by convention C169;nan
Egypt;14 Jan 1959;In Force;;nan
El Salvador;18 Nov 1958;In Force;;nan
Ghana;15 Dec 1958;In Force;;nan
Guinea - Bissau;21 Feb 1977;In Force;;nan
Haiti;04 Mar 1958;In Force;;nan
India;29 Sep 1958;In Force;;nan
Iraq;16 Jul 1986;In Force;;nan
Malawi;22 Mar 1965;In Force;;nan
Mexico;01 Jun 1959;Not in force;Automatic Denunciation on 05 Sep 1991 by convention C169;nan
Pakistan;15 Feb 1960;In Force;;nan
Panama;04 Jun 1971;In Force;;nan
Paraguay;20 Feb 1969;Not in force;Automatic Denunciation on 10 Aug 1994 by convention C169;nan
Peru;06 Dec 1960;Not in force;Automatic Denunciation on 02 Feb 1995 by convention C169;nan
Portugal;22 Nov 1960;Not in force;Denounced on 07 Oct 2009;nan
Syrian Arab Republic;14 Jan 1959;In Force;;nan
Tunisia;17 Dec 1962;In Force;;nan
