Country;Date;Status;Note;ATTR_ENDPOINT
Albania;25 Jun 1957;In Force;;nan
Algeria;19 Oct 1962;In Force;;nan
Angola;04 Jun 1976;In Force;;nan
Antigua and Barbuda;02 Feb 1983;In Force;;nan
Argentina;14 Mar 1950;In Force;;nan
Armenia;17 Dec 2004;In Force;;nan
Australia;02 Jan 1932;In Force;;nan
Austria;07 Jun 1960;In Force;;nan
Azerbaijan;19 May 1992;In Force;;nan
Bahamas;25 May 1976;In Force;;nan
Bahrain;11 Jun 1981;In Force;;nan
Bangladesh;22 Jun 1972;In Force;;nan
Barbados;08 May 1967;In Force;;nan
Belarus;21 Aug 1956;In Force;;nan
Belgium;20 Jan 1944;In Force;;nan
Belize;15 Dec 1983;In Force;;nan
Benin;12 Dec 1960;In Force;;nan
Bolivia (Plurinational State of);31 May 2005;In Force;;nan
Bosnia and Herzegovina;02 Jun 1993;In Force;;nan
Botswana;05 Jun 1997;In Force;;nan
Brazil;25 Apr 1957;In Force;;nan
Bulgaria;22 Sep 1932;In Force;;nan
Burkina Faso;21 Nov 1960;In Force;;nan
Burundi;11 Mar 1963;In Force;;nan
Cabo Verde;03 Apr 1979;In Force;;nan
Cambodia;24 Feb 1969;In Force;;nan
Cameroon;07 Jun 1960;In Force;;nan
Canada;13 Jun 2011;In Force;;nan
Central African Republic;27 Oct 1960;In Force;;nan
Chad;10 Nov 1960;In Force;;nan
Chile;31 May 1933;In Force;;nan
China;12 Aug 2022;Not in force;The Convention will enter into force for China on 12 Aug 2023.;nan
Colombia;04 Mar 1969;In Force;;nan
Comoros;23 Oct 1978;In Force;;nan
Congo;10 Nov 1960;In Force;;nan
Cook Islands;12 Jun 2015;In Force;;nan
Costa Rica;02 Jun 1960;In Force;;nan
Croatia;08 Oct 1991;In Force;;nan
Cuba;20 Jul 1953;In Force;;nan
Cyprus;23 Sep 1960;In Force;;nan
Czechia;01 Jan 1993;In Force;;nan
Côte d'Ivoire;21 Nov 1960;In Force;;nan
Democratic Republic of the Congo;20 Sep 1960;In Force;;nan
Denmark;11 Feb 1932;In Force;;nan
Djibouti;03 Aug 1978;In Force;;nan
Dominica;28 Feb 1983;In Force;;nan
Dominican Republic;05 Dec 1956;In Force;;nan
Ecuador;06 Jul 1954;In Force;;nan
Egypt;29 Nov 1955;In Force;;nan
El Salvador;15 Jun 1995;In Force;;nan
Equatorial Guinea;13 Aug 2001;In Force;;nan
Eritrea;22 Feb 2000;In Force;;nan
Estonia;07 Feb 1996;In Force;;nan
Eswatini;26 Apr 1978;In Force;;nan
Ethiopia;02 Sep 2003;In Force;;nan
Fiji;19 Apr 1974;In Force;;nan
Finland;13 Jan 1936;In Force;;nan
France;24 Jun 1937;In Force;;nan
Gabon;14 Oct 1960;In Force;;nan
Gambia;04 Sep 2000;In Force;;nan
Georgia;22 Jun 1993;In Force;;nan
Germany;13 Jun 1956;In Force;;nan
Ghana;20 May 1957;In Force;;nan
Greece;13 Jun 1952;In Force;;nan
Grenada;09 Jul 1979;In Force;;nan
Guatemala;13 Jun 1989;In Force;;nan
Guinea;21 Jan 1959;In Force;;nan
Guinea - Bissau;21 Feb 1977;In Force;;nan
Guyana;08 Jun 1966;In Force;;nan
Haiti;04 Mar 1958;In Force;;nan
Honduras;21 Feb 1957;In Force;;nan
Hungary;08 Jun 1956;In Force;;nan
Iceland;17 Feb 1958;In Force;;nan
India;30 Nov 1954;In Force;;nan
Indonesia;12 Jun 1950;In Force;;nan
Iran (Islamic Republic of);10 Jun 1957;In Force;;nan
Iraq;27 Nov 1962;In Force;;nan
Ireland;02 Mar 1931;In Force;;nan
Israel;07 Jun 1955;In Force;;nan
Italy;18 Jun 1934;In Force;;nan
Jamaica;26 Dec 1962;In Force;;nan
Japan;21 Nov 1932;In Force;;nan
Jordan;06 Jun 1966;In Force;;nan
Kazakhstan;18 May 2001;In Force;;nan
Kenya;13 Jan 1964;In Force;;nan
Kiribati;03 Feb 2000;In Force;;nan
Kuwait;23 Sep 1968;In Force;;nan
Kyrgyzstan;31 Mar 1992;In Force;;nan
Lao People's Democratic Republic;23 Jan 1964;In Force;;nan
Latvia;02 Jun 2006;In Force;;nan
Lebanon;01 Jun 1977;In Force;;nan
Lesotho;31 Oct 1966;In Force;;nan
Liberia;01 May 1931;In Force;;nan
Libya;13 Jun 1961;In Force;;nan
Lithuania;26 Sep 1994;In Force;;nan
Luxembourg;24 Jul 1964;In Force;;nan
Madagascar;01 Nov 1960;In Force;;nan
Malawi;19 Nov 1999;In Force;;nan
Malaysia;11 Nov 1957;In Force;;nan
Maldives;04 Jan 2013;In Force;;nan
Mali;22 Sep 1960;In Force;;nan
Malta;04 Jan 1965;In Force;;nan
Mauritania;20 Jun 1961;In Force;;nan
Mauritius;02 Dec 1969;In Force;;nan
Mexico;12 May 1934;In Force;;nan
Mongolia;15 Mar 2005;In Force;;nan
Montenegro;03 Jun 2006;In Force;;nan
Morocco;20 May 1957;In Force;;nan
