Country;Date;Status;Note;ATTR_ENDPOINT
Poland;25 Oct 1954;In Force;;nan
PortugalExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);24 Feb 1983;In Force;;nan
Republic of Moldova;12 Aug 1996;In Force;;nan
Romania;06 Jun 1973;In Force;;nan
Russian FederationExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);04 May 1961;In Force;;nan
Saint Lucia;14 May 1980;In Force;;nan
Saint Vincent and the Grenadines;21 Oct 1998;In Force;;nan
Saudi Arabia;07 Dec 2020;In Force;;nan
Senegal;04 Nov 1960;In Force;;nan
Sierra Leone;15 Jun 1961;In Force;;nan
SlovakiaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);01 Jan 1993;In Force;;nan
SloveniaIn accordance with Article 3(7) of Convention No. 173, the Government has communicated a declaration to terminate its obligations under Article 11 of Convention No. 95, in respect of those claims which are protected pursuant to Part III of Convention No. 173.;17 Sep 2009;In Force;;nan
Solomon Islands;06 Aug 1985;In Force;;nan
Somalia;18 Nov 1960;In Force;;nan
SpainExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);24 Jun 1958;In Force;;nan
Sri Lanka;27 Oct 1983;In Force;;nan
Sudan;22 Oct 1970;In Force;;nan
Suriname;15 Jun 1976;In Force;;nan
Syrian Arab Republic;07 Jun 1957;In Force;;nan
Tajikistan;26 Nov 1993;In Force;;nan
Togo;07 Jun 1960;In Force;;nan
Tunisia;28 May 1958;In Force;;nan
Türkiye;29 Mar 1961;In Force;;nan
Uganda;04 Jun 1963;In Force;;nan
UkraineExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);04 Aug 1961;In Force;;nan
United Kingdom of Great Britain and Northern Ireland;24 Sep 1951;Not in force;Denounced on 16 Sep 1983;nan
United Republic of Tanzania;30 Jan 1962;In Force;;nan
Uruguay;18 Mar 1954;In Force;;nan
Venezuela (Bolivarian Republic of);10 Aug 1982;In Force;;nan
Yemen;14 Apr 1969;In Force;;nan
ZambiaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);23 Oct 1979;In Force;;nan
