Country;Date;Status;Note;ATTR_ENDPOINT
Afghanistan;07 Jan 1957;In Force;;nan
AlbaniaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);02 Aug 2001;In Force;;nan
Algeria;19 Oct 1962;In Force;;nan
Argentina;24 Sep 1956;In Force;;nan
ArmeniaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);17 Dec 2004;In Force;;nan
Austria;10 Nov 1951;In Force;;nan
Azerbaijan;19 May 1992;In Force;;nan
Bahamas;25 May 1976;In Force;;nan
Barbados;08 May 1967;In Force;;nan
Belarus;04 Aug 1961;In Force;;nan
Belgium;22 Apr 1970;In Force;;nan
Belize;15 Dec 1983;In Force;;nan
Benin;12 Dec 1960;In Force;;nan
Bolivia (Plurinational State of);31 Jan 1977;In Force;;nan
BotswanaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);05 Jun 1997;In Force;;nan
Brazil;25 Apr 1957;In Force;;nan
BulgariaExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);07 Nov 1955;In Force;;nan
Burkina FasoExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);21 Nov 1960;In Force;;nan
Cameroon;07 Jun 1960;In Force;;nan
Central African Republic;27 Oct 1960;In Force;;nan
ChadExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);10 Nov 1960;In Force;;nan
Colombia;07 Jun 1963;In Force;;nan
Comoros;23 Oct 1978;In Force;;nan
Congo;10 Nov 1960;In Force;;nan
Costa Rica;02 Jun 1960;In Force;;nan
Cuba;29 Apr 1952;In Force;;nan
Cyprus;23 Sep 1960;In Force;;nan
Czechia;01 Jan 1993;In Force;;nan
Côte d'Ivoire;21 Nov 1960;In Force;;nan
Democratic Republic of the Congo;16 Jun 1969;In Force;;nan
Djibouti;03 Aug 1978;In Force;;nan
Dominica;28 Feb 1983;In Force;;nan
Dominican Republic;19 Jun 1973;In Force;;nan
Ecuador;06 Jul 1954;In Force;;nan
Egypt;26 Jul 1960;In Force;;nan
Eswatini;26 Apr 1978;In Force;;nan
France;15 Oct 1952;In Force;;nan
Gabon;14 Oct 1960;In Force;;nan
Greece;16 Jun 1955;In Force;;nan
Grenada;09 Jul 1979;In Force;;nan
Guatemala;13 Feb 1952;In Force;;nan
Guinea;21 Jan 1959;In Force;;nan
Guyana;08 Jun 1966;In Force;;nan
Honduras;20 Jun 1960;In Force;;nan
Hungary;08 Jun 1956;In Force;;nan
Iran (Islamic Republic of);10 Jun 1972;In Force;;nan
Iraq;12 May 1960;In Force;;nan
Israel;12 Jan 1959;In Force;;nan
Italy;22 Oct 1952;In Force;;nan
Kazakhstan;03 Feb 2015;In Force;;nan
Kyrgyzstan;31 Mar 1992;In Force;;nan
Lebanon;01 Jun 1977;In Force;;nan
Libya;20 Jun 1962;In Force;;nan
MadagascarExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);01 Nov 1960;In Force;;nan
Malaysia;17 Nov 1961;In Force;;nan
Mali;22 Sep 1960;In Force;;nan
Malta;04 Jan 1965;In Force;;nan
Mauritania;20 Jun 1961;In Force;;nan
Mauritius;02 Dec 1969;In Force;;nan
MexicoExcluding Article 11 by virtue of the ratification of Convention No. 173 (acceptance of Part II);27 Sep 1955;In Force;;nan
Netherlands;20 May 1952;In Force;;nan
Nicaragua;01 Mar 1976;In Force;;nan
Niger;27 Feb 1961;In Force;;nan
Nigeria;17 Oct 1960;In Force;;nan
Norway;29 Jun 1950;In Force;;nan
Panama;19 Jun 1970;In Force;;nan
Paraguay;21 Mar 1966;In Force;;nan
Philippines;29 Dec 1953;In Force;;nan
