GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
NCD_CCS_Mkting;PUBLISHED;2015;EUR;CZE;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;SEAR;PRK;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;DNK;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;DMA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;DOM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;ECU;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EMR;EGY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;SLV;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AFR;ERI;Yes;;;;;;Documentation not provided.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;EST;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AFR;ETH;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;WPR;FJI;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;FIN;Yes;;;;;;Documentation not provided.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;FRA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AFR;GMB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;GEO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;DEU;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;GRC;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;GRD;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;GTM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AFR;GIN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;GUY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;HTI;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;AMR;HND;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
NCD_CCS_Mkting;PUBLISHED;2015;EUR;HUN;Yes;;;;;;Documentation not provided.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_Mkting.csv
