goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;442;Luxembourg;2014.0;9.92;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;442;Luxembourg;2015.0;10.36;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;442;Luxembourg;2016.0;10.64;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;442;Luxembourg;2017.0;10.17;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;442;Luxembourg;2018.0;9.98;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2009.0;1.64;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2010.0;2.21;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2011.0;5.88;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2012.0;2.8;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2013.0;4.33;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2014.0;4.28;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2015.0;2.92;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2016.0;5.69;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2017.0;4.77;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;470;Malta;2018.0;6.53;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2009.0;6.55;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2010.0;7.71;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2011.0;7.5;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2012.0;7.07;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2013.0;6.74;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2014.0;8.12;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2015.0;8.21;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2016.0;8.7;Float;;;;;;Eurostat;;[''];C;KG;E;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2017.0;9.31;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;528;Netherlands;2018.0;9.64;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2010.0;0.006;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2011.0;0.00627;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2012.0;0.00565;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2013.0;0.00503;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2014.0;0.00496;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2015.0;0.271;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2016.0;0.27891;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2017.0;0.28613;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2018.0;0.29637;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;747;Northern Africa and Western Asia;2019.0;0.30354;Float;;;;;;UNITAR / WESR;;[''];E;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2009.0;23.19;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2010.0;21.81;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2011.0;21.96;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2012.0;20.74;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2013.0;20.43;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2014.0;20.52;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2015.0;19.18;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2016.0;19.33;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2017.0;17.91;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;578;Norway;2018.0;17.87;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2009.0;2.63;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2010.0;2.76;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2011.0;3.99;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2012.0;4.19;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2013.0;4.21;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2014.0;4.27;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2015.0;4.45;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2016.0;5.9;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2017.0;6.74;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;616;Poland;2018.0;6.74;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2009.0;4.23;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2010.0;4.41;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2011.0;5.44;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2012.0;4.15;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2013.0;4.76;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2014.0;5.74;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2015.0;6.1;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2016.0;6.75;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2017.0;6.82;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;620;Portugal;2018.0;7.17;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2009.0;1.8;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2010.0;1.3;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2011.0;1.04;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2012.0;1.15;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2013.0;1.66;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2014.0;1.62;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2015.0;1.81;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2016.0;2.21;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2017.0;2.46;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;642;Romania;2018.0;3.04;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2009.0;3.86;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2010.0;4.11;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2011.0;4.36;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2012.0;4.18;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2013.0;4.03;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2014.0;4.2;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2015.0;4.41;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2016.0;5.15;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2017.0;5.44;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;703;Slovakia;2018.0;5.8;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;705;Slovenia;2009.0;3.93;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;705;Slovenia;2010.0;4.07;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
['12'];['12.5'];['12.5.1'];EN_EWT_RCYPCAP;Electronic waste recycling, per capita (Kg);381;705;Slovenia;2011.0;4.03;Float;;;;;;Eurostat;;[''];C;KG;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999
