GHO;PUBLISHSTATE;YEAR;REGION;WORLDBANKINCOMEGROUP;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2007;EUR;WB_UMI;ALB;449.83;449.83;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2008;EUR;WB_UMI;ALB;415.06;415.06;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2009;EUR;WB_UMI;ALB;399.68;399.68;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2010;EUR;WB_UMI;ALB;451.88;451.88;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2011;EUR;WB_UMI;ALB;485.58;485.58;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2012;EUR;WB_UMI;ALB;529.63;529.63;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2013;EUR;WB_UMI;ALB;567.6;567.6;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2014;EUR;WB_UMI;ALB;618.11;618.11;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2015;EUR;WB_UMI;ALB;568.92;568.92;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2016;EUR;WB_UMI;ALB;591.67;591.67;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2017;EUR;WB_UMI;ALB;639.82;639.82;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
