Dataflow;STAT_UNIT;UNIT_MEASURE;EDU_LEVEL;EDU_CAT;SEX;AGE;GRADE;SECTOR_EDU;EDU_ATTAIN;SUBJECT;WEALTH_QUINTILE;INFRASTR;LOCATION;EDU_TYPE;SE_BKGRD;SOURCE_FUND;FUND_FLOW;IMM_STATUS;REF_AREA;TIME_PERIOD;OBS_VALUE;UNIT_MULT;OBS_STATUS;FREQ;DECIMALS;ATTR_ENDPOINT
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AIMS_EAS_PAC;2018;9.57974;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AIMS_PAC;2017;5.12669;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AIMS_PAC;2018;5.42916;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AIMS_SAS_WAS;2017;15.77461;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AIMS_SAS_WAS;2018;15.17475;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AL;2017;6.07264;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AL;2018;3.0568;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AM;2017;7.37141;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AM;2018;8.21479;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AR;2017;0.00779;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AT;2017;0.15585;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AU;2017;1.88277;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AZ;2017;0.42551;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;AZ;2018;0.52151;0;E;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;BB;2017;1.81276;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;BB;2018;3.83275;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
UNESCO:SDG4(2.0);ROFST;PT;L2;_T;_T;SCH_AGE_GROUP;_T;INST_T;_Z;_T;_Z;_Z;_Z;_T;_T;_Z;_Z;_Z;BE;2017;1.38069;0;A;A;5;https://api.uis.unesco.org/sdmx/data/UNESCO,SDG4,2.0/ROFST.PT.L2._T._T+F+M.SCH_AGE_GROUP._T.INST_T._Z._T._Z._Z._Z._T._T._Z._Z._Z.?startPeriod=2017&endPeriod=2018&format=csv-sdmx&locale=en&subscription-key=460ab272abdd43c892bb59c218c22c09
