COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
United Kingdom;0.01;2022.0;nan
Nigeria;0.714;2022.0;nan
Niger;0.357;2022.0;nan
Papua New Guinea;0.214;2022.0;nan
El Salvador;0.01;2022.0;nan
Guinea;0.143;2022.0;nan
Democratic Republic of the Congo;0.143;2022.0;nan
Equatorial Guinea;0.071;2022.0;nan
Central African Republic;0.5;2022.0;nan
Sierra Leone;0.071;2022.0;nan
Afghanistan;0.01;2022.0;nan
Chad;0.714;2022.0;nan
