GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
NCD_CCS_AlcPlan;PUBLISHED;2013;EMR;IRQ;Don't know;;;;;;Country responded Don't know.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AFR;NAM;Don't know;;;;;;Country responded Don't know.;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AMR;HTI;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AFR;MUS;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AMR;GUY;No data received;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;SEAR;PRK;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AFR;KEN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EMR;KWT;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;SVK;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;SVN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EMR;SAU;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;SWE;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;ROU;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;LUX;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;EUR;MLT;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
NCD_CCS_AlcPlan;PUBLISHED;2013;AFR;COG;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/NCD_CCS_AlcPlan.csv
