id;label;self;iso2;iso3;join_date;leave_date;local_website;latest_validation_date;status.id;status.label;RAW_OBS_VALUE;status.color;status_history;validation_data.2019;validation_data.2020;summary_data.2009;summary_data.2010;summary_data.2011;summary_data.2012;summary_data.2013;summary_data.2014;summary_data.2015;summary_data.2016;summary_data.2017;summary_data.2018;summary_data.2019;validation_data.2018;validation_data.2022;validation_data;summary_data;validation_data.2016;summary_data.2003;summary_data.2004;summary_data.2005;summary_data.2006;summary_data.2007;summary_data.2008;validation_data.2021;summary_data.2001;summary_data.2002;summary_data.2020;validation_data.2017;summary_data.1999;summary_data.2000;TIME_PERIOD;ATTR_ENDPOINT
CG;Republic of the Congo;https://eiti.org/api/v2.0/implementing_country/CG;CG;COG;2007-09-27;;https://www.itie.cg/;2020-09-11;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2378', 'label': 'Republic of the Congo status', 'date': '2020-09-16', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2442', 'label': 'Republic of the Congo joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4138', 'label': '2019 EITI Report published', 'date': '2021-11-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22496;CG2009;CG2010;CG2011;CG2012;CG2013;CG2014;CG2015;CG2016;CG2017;;;22267;;;;;;CG2004;CG2005;CG2006;CG2007;CG2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
CI;Côte d'Ivoire;https://eiti.org/api/v2.0/implementing_country/CI;CI;CIV;2008-05-12;;http://www.cn-itie.ci/;2020-04-14;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;"[{'id': '2359', 'label': ""Côte d'Ivoire status"", 'date': '2020-04-14', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2423', 'label': ""Côte d'Ivoire joined"", 'date': '2008-05-12', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4189', 'label': '2019 EITI Report published', 'date': '2021-12-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}]";;22447;CI2009;CI2010;CI2011;CI2012;CI2013;CI2014;CI2015;CI2016;CI2017;CI2018;;22184;;;;;;;;CI2006;CI2007;CI2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
CM;Cameroon;https://eiti.org/api/v2.0/implementing_country/CM;CM;CMR;2007-09-27;;https://eiticameroon.org/;2021-01-22;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2351', 'label': 'Cameroon status', 'date': '2021-01-21', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2415', 'label': 'Cameroon joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4121', 'label': '2019 EITI Report published', 'date': '2021-11-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;CM2009;CM2010;CM2011;CM2012;CM2013;CM2014;CM2015;CM2016;CM2017;;;22296;;;;;CM2003;CM2004;CM2005;CM2006;CM2007;CM2008;22521;CM2001;CM2002;;;;;2020;https://eiti.org/api/v2.0/implementing_country
CO;Colombia;https://eiti.org/api/v2.0/implementing_country/CO;CO;COL;2014-10-15;;http://www.eiticolombia.gov.co/;2018-06-29;satisfactory-progress;Satisfactory progress;https://eiti.org/api/v2.0/country_status/satisfactory-progress;2B8636;[{'id': '2349', 'label': 'Colombia status', 'date': '2018-06-29', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2413', 'label': 'Colombia joined', 'date': '2014-10-15', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3718', 'label': '2019 EITI Report published', 'date': '2020-11-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;CO2013;CO2014;CO2015;CO2016;CO2017;;;22457;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
DE;Germany;https://eiti.org/api/v2.0/implementing_country/DE;DE;DEU;2016-02-23;;http://www.d-eiti.de/en/;2019-05-08;satisfactory-progress;Satisfactory progress;https://eiti.org/api/v2.0/country_status/satisfactory-progress;2B8636;[{'id': '2346', 'label': 'Germany status', 'date': '2018-01-01', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2410', 'label': 'Germany joined', 'date': '2016-02-23', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4531', 'label': '2019 EITI Report published', 'date': '2022-02-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22116;;;;;;;;;DE2016;DE2017;DE2018;DE2019;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
DO;Dominican Republic;https://eiti.org/api/v2.0/implementing_country/DO;DO;DOM;2016-02-23;;https://eitird.mem.gob.do/;2020-02-14;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2383', 'label': 'Dominican Republic status', 'date': '2020-02-14', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2447', 'label': 'Dominican Republic joined', 'date': '2016-02-23', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4060', 'label': '2017-2018 EITI Report published', 'date': '2020-02-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22407;;;;;;;DO2015;DO2016;DO2017;DO2018;;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
EC;Ecuador;https://eiti.org/api/v2.0/implementing_country/EC;EC;ECU;2020-10-15;;https://eitiec.org/;;to-be-assessed;Yet to be assessed;https://eiti.org/api/v2.0/country_status/to-be-assessed;7f7f7f;[{'id': '2399', 'label': 'Ecuador status', 'date': None, 'status.id': 'to-be-assessed', 'status.label': 'Yet to be assessed', 'status.self': 'https://eiti.org/api/v2.0/country_status/to-be-assessed', 'status.color': '7f7f7f'}, {'id': '2461', 'label': 'Ecuador joined', 'date': '2020-10-15', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3759', 'label': 'Candidature application is submitted', 'date': '2020-08-14', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;;;;;;;;;;[];[];;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
ET;Ethiopia;https://eiti.org/api/v2.0/implementing_country/ET;ET;ETH;2014-03-19;;;2019-02-27;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2375', 'label': 'Ethiopia status', 'date': '2018-01-01', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2439', 'label': 'Ethiopia joined', 'date': '2014-03-19', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3491', 'label': '2013/2014 EITI Report', 'date': '2016-02-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22303;;;;;;;ET2014;ET2015;ET2016;ET2017;;;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
FR;France;https://eiti.org/api/v2.0/implementing_country/FR;FR;FRA;;;;;other;Other;https://eiti.org/api/v2.0/country_status/other;808080;[{'id': '2389', 'label': 'France status', 'date': None, 'status.id': 'other', 'status.label': 'Other', 'status.self': 'https://eiti.org/api/v2.0/country_status/other', 'status.color': '808080'}];;;;;;;;;;;;;;;;[];[];;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
GA;Gabon;https://eiti.org/api/v2.0/implementing_country/GA;GA;GAB;2021-10-21;2013-02-27;http://itiegabon.ga/?fbclid=IwAR0qe63osE9Pzynoh-qo94nr-1bSVmUGvfpZ9QXwpykA9orZpn-xKKB7yew;;to-be-assessed;Yet to be assessed;https://eiti.org/api/v2.0/country_status/to-be-assessed;7f7f7f;[{'id': '2392', 'label': 'Gabon status', 'date': None, 'status.id': 'to-be-assessed', 'status.label': 'Yet to be assessed', 'status.self': 'https://eiti.org/api/v2.0/country_status/to-be-assessed', 'status.color': '7f7f7f'}, {'id': '2454', 'label': 'Gabon joined', 'date': '2021-10-21', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '2467', 'label': 'Gabon left', 'date': '2013-02-27', 'status.id': 'left', 'status.label': 'Left', 'status.self': 'https://eiti.org/api/v2.0/country_status/left', 'status.color': None}, {'id': '4193', 'label': 'Candidature application is submitted', 'date': '2021-08-16', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;GA2009;GA2010;;;;;;;;;;;;[];;;;GA2004;GA2005;GA2006;GA2007;GA2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
GB;United Kingdom;https://eiti.org/api/v2.0/implementing_country/GB;GB;GBR;2014-10-15;;https://www.ukeiti.org/;2021-10-20;High;High;https://eiti.org/api/v2.0/country_status/High;2B8636;[{'id': '2363', 'label': 'United Kingdom status', 'date': '2021-10-20', 'status.id': 'High', 'status.label': 'High', 'status.self': 'https://eiti.org/api/v2.0/country_status/High', 'status.color': '2B8636'}, {'id': '2427', 'label': 'United Kingdom joined', 'date': '2014-10-15', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4547', 'label': 'Validation (Meaningful progress)', 'date': '2019-11-14', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22378;;;;;;;GB2014;GB2015;GB2016;GB2017;GB2018;GB2019;;;;;;;;;;;;25741;;;GB2020;;;;2020;https://eiti.org/api/v2.0/implementing_country
GH;Ghana;https://eiti.org/api/v2.0/implementing_country/GH;GH;GHA;2007-09-27;;http://www.gheiti.gov.gh;2020-12-01;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2339', 'label': 'Ghana status', 'date': '2020-12-01', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2403', 'label': 'Ghana joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3509', 'label': '2016 EITI Report published', 'date': '2018-05-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22253;22513;GH2009;GH2010;GH2011;GH2012;GH2013;GH2014;GH2015;GH2016;;;;;;;;;;GH2004;GH2005;GH2006;GH2007;GH2008;;;;;22133;;;2020;https://eiti.org/api/v2.0/implementing_country
GN;Guinea;https://eiti.org/api/v2.0/implementing_country/GN;GN;GIN;2007-09-27;;http://www.itie-guinee.org/;2022-02-16;High;High;https://eiti.org/api/v2.0/country_status/High;2B8636;[{'id': '2344', 'label': 'Guinea status', 'date': '2019-02-27', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2408', 'label': 'Guinea joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4212', 'label': '2018 Report', 'date': '2020-12-31', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4796', 'label': 'Validation', 'date': '2022-02-16', 'status.id': 'High', 'status.label': 'High', 'status.self': 'https://eiti.org/api/v2.0/country_status/High', 'status.color': '2B8636'}];22279;;GN2009;GN2010;GN2011;GN2012;GN2013;GN2014;GN2015;GN2016;GN2017;GN2018;;;25744;;;;;;GN2005;GN2006;GN2007;GN2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
GQ;Equatorial Guinea;https://eiti.org/api/v2.0/implementing_country/GQ;GQ;GNQ;2008-02-22;2010-04-16;;;other;Other;https://eiti.org/api/v2.0/country_status/other;808080;[{'id': '2391', 'label': 'Equatorial Guinea status', 'date': None, 'status.id': 'other', 'status.label': 'Other', 'status.self': 'https://eiti.org/api/v2.0/country_status/other', 'status.color': '808080'}, {'id': '2453', 'label': 'Equatorial Guinea joined', 'date': '2008-02-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '2466', 'label': 'Equatorial Guinea left', 'date': '2010-04-16', 'status.id': 'left', 'status.label': 'Left', 'status.self': 'https://eiti.org/api/v2.0/country_status/left', 'status.color': None}];;;;;;;;;;;;;;;;[];[];;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
GT;Guatemala;https://eiti.org/api/v2.0/implementing_country/GT;GT;GTM;2011-03-01;;http://eitiguatemala.org.gt/;2020-01-23;suspended-inadequate-progress;Inadequate progress / suspended;https://eiti.org/api/v2.0/country_status/suspended-inadequate-progress;FAC433;[{'id': '2345', 'label': 'Guatemala status', 'date': '2020-01-23', 'status.id': 'suspended-inadequate-progress', 'status.label': 'Inadequate progress / suspended', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-inadequate-progress', 'status.color': 'FAC433'}, {'id': '2409', 'label': 'Guatemala joined', 'date': '2011-03-01', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4071', 'label': '2018-2020 EITI Report Published', 'date': '2021-12-30', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22404;;GT2010;GT2011;GT2012;GT2013;GT2014;GT2015;;;;;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
GY;Guyana;https://eiti.org/api/v2.0/implementing_country/GY;GY;GUY;2017-10-25;;https://gyeiti.org/;2022-04-27;Fairly-low;Fairly low;https://eiti.org/api/v2.0/country_status/Fairly-low;F6A70A;[{'id': '2390', 'label': 'Guyana status', 'date': '2022-04-27', 'status.id': 'Fairly-low', 'status.label': 'Fairly low', 'status.self': 'https://eiti.org/api/v2.0/country_status/Fairly-low', 'status.color': 'F6A70A'}, {'id': '2452', 'label': 'Guyana joined', 'date': '2017-10-25', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4077', 'label': '2018 EITI Report published', 'date': '2021-04-08', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;;;;;GY2017;GY2018;;;25788;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
HN;Honduras;https://eiti.org/api/v2.0/implementing_country/HN;HN;HND;2013-05-22;;https://www.eitihonduras.org/;2020-10-28;suspended-inadequate-progress;Inadequate progress / suspended;https://eiti.org/api/v2.0/country_status/suspended-inadequate-progress;FAC433;[{'id': '2384', 'label': 'Honduras status', 'date': '2019-04-25', 'status.id': 'suspended-inadequate-progress', 'status.label': 'Inadequate progress / suspended', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-inadequate-progress', 'status.color': 'FAC433'}, {'id': '2448', 'label': 'Honduras joined', 'date': '2013-05-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4086', 'label': '2017-2018 EITI Report published', 'date': '2020-02-15', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22505;;;;HN2012;HN2013;HN2014;HN2015;HN2016;;;;;;;;;;;;;;;;;;;22137;;;2020;https://eiti.org/api/v2.0/implementing_country
ID;Indonesia;https://eiti.org/api/v2.0/implementing_country/ID;ID;IDN;2009-10-19;;https://eiti.esdm.go.id/en;2019-12-24;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2379', 'label': 'Indonesia status', 'date': '2019-12-24', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2443', 'label': 'Indonesia joined', 'date': '2009-10-19', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3772', 'label': '2018 EITI Report published', 'date': '2021-03-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22394;;ID2009;ID2010;ID2011;ID2012;ID2013;ID2014;ID2015;ID2016;;;;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
IQ;Iraq;https://eiti.org/api/v2.0/implementing_country/IQ;IQ;IRQ;2010-02-10;;http://ieiti.org.iq/;2019-10-16;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2370', 'label': 'Iraq status', 'date': '2019-10-17', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2434', 'label': 'Iraq joined', 'date': '2010-02-10', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4314', 'label': '2018 EITI Report published', 'date': '2021-03-31', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22369;;IQ2009;IQ2010;IQ2011;IQ2012;IQ2013;IQ2014;IQ2015;IQ2016;IQ2017;IQ2018;;;;;;;;;;;;;;;;;22120;;;2020;https://eiti.org/api/v2.0/implementing_country
KG;Kyrgyz Republic;https://eiti.org/api/v2.0/implementing_country/KG;KG;KGZ;2007-09-27;;https://keitiweb.wordpress.com/;2020-09-29;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2368', 'label': 'Kyrgyz Republic status', 'date': '2020-09-29', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2432', 'label': 'Kyrgyz Republic joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4502', 'label': '2015-2017 EITI Report published', 'date': '2019-06-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22501;KG2009;KG2010;KG2011;KG2012;KG2013;KG2014;KG2015;KG2016;KG2017;;;;;;;;;KG2004;KG2005;KG2006;KG2007;KG2008;;;;;22110;;;2020;https://eiti.org/api/v2.0/implementing_country
KZ;Kazakhstan;https://eiti.org/api/v2.0/implementing_country/KZ;KZ;KAZ;2007-09-27;;http://eiti.geology.gov.kz/en/;2020-04-14;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2355', 'label': 'Kazakhstan status', 'date': '2020-04-14', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2419', 'label': 'Kazakhstan joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4448', 'label': '2019 EITI report published', 'date': '2020-12-31', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22433;KZ2009;KZ2010;KZ2011;KZ2012;KZ2013;KZ2014;KZ2015;KZ2016;KZ2017;;;22159;;;;;;;KZ2005;KZ2006;KZ2007;KZ2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
LR;Liberia;https://eiti.org/api/v2.0/implementing_country/LR;LR;LBR;2008-09-27;;http://www.leiti.org.lr/;2022-06-17;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2356', 'label': 'Liberia status', 'date': '2022-06-17', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}, {'id': '2420', 'label': 'Liberia joined', 'date': '2008-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3527', 'label': '2018-2019 EITI Report published', 'date': '2021-04-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;LR2009;LR2010;LR2011;LR2012;LR2013;LR2014;LR2015;LR2016;LR2017;LR2018;LR2019;;25841;;;;;;;;;LR2008;;;;;22103;;;2020;https://eiti.org/api/v2.0/implementing_country
MG;Madagascar;https://eiti.org/api/v2.0/implementing_country/MG;MG;MDG;2008-02-22;;http://eitimadagascar.org/;2020-06-09;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2362', 'label': 'Madagascar status', 'date': '2020-06-09', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2426', 'label': 'Madagascar joined', 'date': '2008-02-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4226', 'label': '2018 EITI Report was published  ', 'date': '2019-12-21', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22443;MG2009;MG2010;MG2011;MG2012;MG2013;MG2014;MG2015;MG2016;MG2017;MG2018;;22264;;;;;;;;;MG2007;MG2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
ML;Mali;https://eiti.org/api/v2.0/implementing_country/ML;ML;MLI;2007-09-27;;http://itie.ml/;2022-12-13;Fairly-low;Fairly low;https://eiti.org/api/v2.0/country_status/Fairly-low;F6A70A;[{'id': '2353', 'label': 'Mali status', 'date': '2019-06-17', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2417', 'label': 'Mali joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4245', 'label': 'Next Validation is expected to begin', 'date': '2022-04-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4873', 'label': 'Validation', 'date': '2022-10-13', 'status.id': 'Fairly-low', 'status.label': 'Fairly low', 'status.self': 'https://eiti.org/api/v2.0/country_status/Fairly-low', 'status.color': 'F6A70A'}];22108;;ML2009;ML2010;ML2011;ML2012;ML2013;ML2014;ML2015;ML2016;ML2017;ML2018;;;26080;;;;;;;ML2006;ML2007;ML2008;;;;;22130;;;2020;https://eiti.org/api/v2.0/implementing_country
MM;Myanmar;https://eiti.org/api/v2.0/implementing_country/MM;MM;MMR;2014-07-02;;http://myanmareiti.org/;2019-10-16;suspended-political-instability;Suspended due to political instability;https://eiti.org/api/v2.0/country_status/suspended-political-instability;6d5339;[{'id': '2380', 'label': 'Myanmar status', 'date': '2021-02-18', 'status.id': 'suspended-political-instability', 'status.label': 'Suspended due to political instability', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-political-instability', 'status.color': '6d5339'}, {'id': '2444', 'label': 'Myanmar joined', 'date': '2014-07-02', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4594', 'label': '2016-2017 EITI Report published', 'date': '2019-03-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4612', 'label': 'Validation', 'date': '2019-10-16', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}];22281;;;;;;;MM2014;MM2015;MM2016;MM2017;MM2018;;;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
