COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AFG;Afghanistan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;Filled with value in data dictionary;AF;AFG;AFG;
ALB;Albania;2022;64.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AL;ALB;ALB;
AND;Andorra;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AD;AND;AND;
DZA;Algeria;2022;35.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DZ;DZA;DZA;
AGO;Angola;2022;35.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AO;AGO;AGO;
ATG;Antigua and Barbuda;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AG;ATG;ATG;
ARG;Argentina;2022;34.5;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AR;ARG;ARG;
ARM;Armenia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AM;ARM;ARM;
AUS;Australia;2022;68.5;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AU;AUS;AUS;
AUT;Austria;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AT;AUT;AUT;
AZE;Azerbaijan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;AZ;AZE;AZE;
BHS;Bahamas;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BS;BHS;BHS;
BHR;Bahrain;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BH;BHR;BHR;
BGD;Bangladesh;2022;36.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BD;BGD;BGD;
BRB;Barbados;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BB;BRB;BRB;
BLR;Belarus;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BY;BLR;BLR;
BEL;Belgium;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BE;BEL;BEL;
BLZ;Belize;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BZ;BLZ;BLZ;
BEN;Benin;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BJ;BEN;BEN;
BTN;Bhutan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BT;BTN;BTN;
BOL;Bolivia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BO;BOL;BOL;
BIH;Bosnia and Herzegovina;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BA;BIH;BIH;
BWA;Botswana;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BW;BWA;BWA;
BRA;Brazil;2022;52.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BR;BRA;BRA;
BRN;Brunei;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BN;BRN;BRN;
BGR;Bulgaria;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BG;BGR;BGR;
BFA;Burkina Faso;2022;46.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BF;BFA;BFA;
BDI;Burundi;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;BI;BDI;BDI;
CPV;Cabo Verde;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CV;CPV;CPV;
KHM;Cambodia;2022;53.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KH;KHM;KHM;
CMR;Cameroon;2022;29.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CM;CMR;CMR;
CAN;Canada;2022;78.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;CAN;
CAF;Central African Republic;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CF;CAF;CAF;
TCD;Chad;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;TD;TCD;TCD;
CHL;Chile;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CL;CHL;CHL;
