Country;Date;Status;Note;ATTR_ENDPOINT
Australia;22 Oct 1970;In Force;;nan
Azerbaijan;19 May 1992;In Force;;nan
Belarus;21 Aug 1956;In Force;;nan
Finland;23 Nov 1989;In Force;;nan
Kyrgyzstan;31 Mar 1992;In Force;;nan
Lithuania;26 Sep 1994;In Force;;nan
New Zealand;29 Mar 1938;In Force;;nan
Norway;13 Mar 1979;In Force;;nan
Republic of Korea;07 Nov 2011;In Force;;nan
Republic of Moldova;09 Dec 1997;In Force;;nan
Russian Federation;23 Jun 1956;In Force;;nan
Sweden;11 Aug 1982;In Force;;nan
Tajikistan;26 Nov 1993;In Force;;nan
Ukraine;10 Aug 1956;In Force;;nan
Uzbekistan;13 Jul 1992;In Force;;nan
