GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001555;PUBLISHED;2016;AMR;MEX;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;JOR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;HRV;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;AUT;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;ARE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;IDN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;BTN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;GBR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;AND;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;EGY;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;TLS;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;KHM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;GNQ;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;CAF;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;GHA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;GTM;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;BRA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;MDG;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;CUB;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;SEN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;ATG;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;ALB;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;LCA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;USA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;MMR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;PAK;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;CYP;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;EST;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;GEO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;RUS;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;LUX;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;CHN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;LAO;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
