Country;Date;Status;Note;ATTR_ENDPOINT
AlbaniaHas ratified the Protocol of 2002;09 Feb 2004;In Force;;nan
Algeria;06 Jun 2006;In Force;;nan
Antigua and BarbudaHas ratified the Protocol of 2002;16 Sep 2002;In Force;;nan
ArgentinaHas ratified the Protocol of 2002;13 Jan 2014;In Force;;nan
AustraliaHas ratified the Protocol of 2002;26 Mar 2004;In Force;;nan
Bahrain;09 Sep 2009;In Force;;nan
Belarus;30 May 2000;In Force;;nan
Belgium;28 Feb 2011;In Force;;nan
Belize;22 Jun 1999;In Force;;nan
Bosnia and Herzegovina;02 Jun 1993;In Force;;nan
Brazil;18 May 1992;In Force;;nan
Cabo Verde;09 Aug 2000;In Force;;nan
Cameroon;01 Oct 2021;In Force;;nan
Central African Republic;05 Jun 2006;In Force;;nan
China;25 Jan 2007;In Force;;nan
Croatia;08 Oct 1991;In Force;;nan
Cuba;07 Sep 1982;In Force;;nan
Cyprus;16 Jan 1989;In Force;;nan
Czechia;01 Jan 1993;In Force;;nan
Côte d'IvoireHas ratified the Protocol of 2002;01 Apr 2016;In Force;;nan
Denmark;10 Jul 1995;In Force;;nan
El SalvadorHas ratified the Protocol of 2002;12 Oct 2000;In Force;;nan
Ethiopia;28 Jan 1991;In Force;;nan
FijiHas ratified the Protocol of 2002;28 May 2008;In Force;;nan
FinlandHas ratified the Protocol of 2002;24 Apr 1985;In Force;;nan
Gabon;28 Jul 2015;In Force;;nan
Grenada;26 Jun 2012;In Force;;nan
Guyana;17 Sep 2012;In Force;;nan
Hungary;04 Jan 1994;In Force;;nan
Iceland;21 Jun 1991;In Force;;nan
Iran (Islamic Republic of);07 Feb 2023;Not in force;The Convention will enter into force for Iran (Islamic Republic of) on 07 Feb 2024.;nan
Ireland;04 Apr 1995;In Force;;nan
Kazakhstan;30 Jul 1996;In Force;;nan
Lao People's Democratic Republic;04 Jul 2022;Not in force;The Convention will enter into force for Lao People's Democratic Republic on 04 Jul 2023.;nan
Latvia;25 Jul 1994;In Force;;nan
Lesotho;01 Nov 2001;In Force;;nan
LuxembourgHas ratified the Protocol of 2002;21 Mar 2001;In Force;;nan
Malawi;07 Nov 2019;In Force;;nan
MaliHas ratified the Protocol of 2002;12 Apr 2016;In Force;;nan
Mauritius;25 Jul 2014;In Force;;nan
Mexico;01 Feb 1984;In Force;;nan
Mongolia;03 Feb 1998;In Force;;nan
Montenegro;03 Jun 2006;In Force;;nan
Netherlands;22 May 1991;In Force;;nan
New Zealand;12 Jun 2007;In Force;;nan
NigerHas ratified the Protocol of 2002;19 Feb 2009;In Force;;nan
Nigeria;03 May 1994;In Force;;nan
North Macedonia;17 Nov 1991;In Force;;nan
Norway;22 Jun 1982;In Force;;nan
PortugalHas ratified the Protocol of 2002;28 May 1985;In Force;;nan
Republic of Korea;20 Feb 2008;In Force;;nan
Republic of Moldova;28 Apr 2000;In Force;;nan
Russian Federation;02 Jul 1998;In Force;;nan
Rwanda;29 Jun 2018;In Force;;nan
Saint LuciaHas ratified the Protocol of 2002;14 May 2021;In Force;;nan
Sao Tome and Principe;04 May 2005;In Force;;nan
SenegalHas ratified the Protocol of 2002;01 Mar 2021;In Force;;nan
Serbia;24 Nov 2000;In Force;;nan
Seychelles;28 Oct 2005;In Force;;nan
Sierra Leone;25 Aug 2021;In Force;;nan
Singapore;11 Jun 2019;In Force;;nan
Slovakia;01 Jan 1993;In Force;;nan
SloveniaHas ratified the Protocol of 2002;29 May 1992;In Force;;nan
Somalia;08 Mar 2021;In Force;;nan
South Africa;18 Feb 2003;In Force;;nan
Spain;11 Sep 1985;In Force;;nan
SwedenHas ratified the Protocol of 2002;11 Aug 1982;In Force;;nan
Syrian Arab RepublicHas ratified the Protocol of 2002;19 May 2009;In Force;;nan
Tajikistan;21 Oct 2009;In Force;;nan
Türkiye;22 Apr 2005;In Force;;nan
Ukraine;04 Jan 2012;In Force;;nan
Uruguay;05 Sep 1988;In Force;;nan
Venezuela (Bolivarian Republic of);25 Jun 1984;In Force;;nan
Viet Nam;03 Oct 1994;In Force;;nan
Zambia;23 Dec 2013;In Force;;nan
Zimbabwe;09 Apr 2003;In Force;;nan
