Country;Date;Status;Note;ATTR_ENDPOINT
Seychelles;23 Nov 1999;In Force;;nan
Sierra Leone;14 Oct 1966;In Force;;nan
Slovakia;01 Jan 1993;In Force;;nan
Slovenia;29 May 1992;In Force;;nan
Solomon Islands;13 Apr 2012;In Force;;nan
Somalia;08 Dec 1961;In Force;;nan
South Africa;05 Mar 1997;In Force;;nan
South Sudan;29 Apr 2012;In Force;;nan
Spain;06 Nov 1967;In Force;;nan
Sri Lanka;27 Nov 1998;In Force;;nan
Sudan;22 Oct 1970;In Force;;nan
Suriname;04 Jan 2017;In Force;;nan
Sweden;20 Jun 1962;In Force;;nan
Switzerland;13 Jul 1961;In Force;;nan
Syrian Arab Republic;10 May 1960;In Force;;nan
Tajikistan;26 Nov 1993;In Force;;nan
Thailand;13 Jun 2017;In Force;;nan
Timor-Leste;10 May 2016;In Force;;nan
Togo;08 Nov 1983;In Force;;nan
Trinidad and Tobago;26 Nov 1970;In Force;;nan
Tunisia;14 Sep 1959;In Force;;nan
Turkmenistan;15 May 1997;In Force;;nan
Türkiye;19 Jul 1967;In Force;;nan
Uganda;02 Jun 2005;In Force;;nan
Ukraine;04 Aug 1961;In Force;;nan
United Arab Emirates;28 Jun 2001;In Force;;nan
United Kingdom of Great Britain and Northern Ireland;08 Jun 1999;In Force;;nan
United Republic of Tanzania;26 Feb 2002;In Force;;nan
Uruguay;16 Nov 1989;In Force;;nan
Uzbekistan;13 Jul 1992;In Force;;nan
Vanuatu;28 Jul 2006;In Force;;nan
Venezuela (Bolivarian Republic of);03 Jun 1971;In Force;;nan
Viet Nam;07 Oct 1997;In Force;;nan
Yemen;22 Aug 1969;In Force;;nan
Zambia;23 Oct 1979;In Force;;nan
Zimbabwe;23 Jun 1999;In Force;;nan
