goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;174;Comoros;2015.0;22;Float;;;;;;Ministère de la Production, de l'Environnement, de l'Energie et de l'Artisanat;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;178;Congo;2015.0;10;Float;;;;;;Ministère de l'Economie Forestière et du Développement Durable;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;184;Cook Islands;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;188;Costa Rica;2015.0;9;Float;;;;;;Ministerio del Ambiente y Energia;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;384;Côte d'Ivoire;2015.0;14;Float;;;;;;Ministry of Environment and Sustainable Development;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;191;Croatia;2015.0;NaN;String;;;;;;UNCCD;;[''];E;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;192;Cuba;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;531;Curaçao;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;196;Cyprus;2015.0;19;Float;;;;;;Ministry of Agriculture, Natural Resources and Environment;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;203;Czechia;2015.0;6;Float;;;;;;Ministry of Environment ;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
