country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
Belarus;BLR;0.1;6.2;0;0;2.3;2.4;2.2;1.6;0;1.1;1.7;1.7;0.9;0.4;1.2;2;0.6;0.3;0.1;1;0.5;1.3;1.3;2.8;5.6;4.2;1.6;0.3;1.6;1.2;2.8;1.8;Very Low;161;3.8606965174129364;10;0.19607843137254902;;0.22388059701492538;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Belgium;BEL;3.4;4;0;0;1;1.3;1.8;2.8;0;2;1.9;0;0.6;0.4;0.3;5.6;0.1;0.3;0;0.2;0.2;3.4;2;x;2.6;2.6;2.1;0;0.7;0.9;1.8;1.9;Very Low;157;4.533333333333332;13;0.2549019607843137;;0.2;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Belize;BLZ;2.4;8.4;5.3;7.2;2.3;4.5;5.5;0.2;0;0.1;3.3;4.1;5.2;1.2;3.7;3;1.2;1;0;2.7;1.3;2.2;3;x;6.2;6.2;3.7;3;4.3;3.7;5.1;3.7;Medium;92;3.8885572139303477;11;0.21568627450980393;;0.1791044776119403;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Benin;BEN;0.1;5.1;0;0;1;7.3;2.9;2.2;0;1.5;2.2;8.7;7;1.7;6.5;1.4;4.5;5.5;0;2.2;3.3;2.4;4.8;5.5;6;5.8;7.2;8.3;7;7.5;6.7;4.1;Medium;76;1.2164383561643834;1;0.0196078431372549;;0.1780821917808219;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bhutan;BTN;7.4;5.1;0;0;0;5;3.5;0.1;0;0.1;2;7.2;4.5;1.9;5.2;0;1.6;2.6;0;4.1;2.2;1.2;3.5;4.5;3.8;4.2;4.2;4.6;5.3;4.7;4.5;3.2;Low;105;4.2666666666666675;8;0.1568627450980392;;0.4;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bolivia;BOL;7.7;5.5;0;0;6.4;4.7;4.7;5.5;0;3.9;4.3;5.9;5.1;1.1;4.5;1;0.7;1.5;1.6;4.7;2.3;1.7;3.2;5.6;6.3;6;3.2;5;5.3;4.5;5.3;4.2;Medium;71;3.5675675675675675;5;0.09803921568627451;;0.4189189189189189;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bosnia and Herzegovina;BIH;6.3;7.1;3.1;0;3.2;2;4.1;2.5;0;1.8;3;3;2.1;2.5;2.7;7.1;0.2;0.4;0;1.4;0.5;4.6;3.7;x;6.3;6.3;2.2;1.3;3.9;2.5;4.7;3.7;Medium;92;4.646009389671361;7;0.13725490196078433;;0.5211267605633803;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Botswana;BWA;0.1;4.8;0;0;5.6;3.8;2.7;0.6;0;0.4;1.6;5.4;6.7;0.5;4.5;1.6;4;2.8;0.9;6.6;3.9;2.8;3.7;5.6;4.1;4.9;3.5;4.6;4.9;4.3;4.6;3;Low;115;2.602816901408451;3;0.058823529411764705;;0.3380281690140845;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Brazil;BRA;1;8.1;0;0;4.5;5.7;4;9.8;9;9;7.2;3.7;6.2;0.1;3.4;5.6;0.6;1.1;0;1.2;0.7;3.5;3.5;4.3;6.2;5.3;2.4;3.6;3.5;3.2;4.3;4.8;Medium;52;3.9074074074074074;7;0.13725490196078433;YES;0.2361111111111111;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Brunei Darussalam;BRN;0.1;1.4;5;1.9;2.8;4.3;2.8;0;0;0;1.5;1.1;3.1;0;1.3;0;0.6;1.5;0;1.4;0.9;0.5;0.9;6;3.3;4.7;1.2;2.5;2.5;2.1;3.5;1.7;Very Low;168;6.031746031746032;15;0.29411764705882354;;0.38095238095238093;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Bulgaria;BGR;6.6;4.9;0;0;3.1;4.6;3.6;0.2;0;0.1;2;1.7;3.4;0.6;1.9;4.3;0.2;0.5;0;2.5;0.9;2.8;2.4;3.2;5.1;4.2;2;1.4;1.6;1.7;3;2.4;Low;135;4.297584541062802;8;0.1568627450980392;;0.4057971014492754;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Burkina Faso;BFA;0.1;4.6;0;0;6.1;7.3;3.7;9.7;7;7;5.6;9.7;5.4;2.5;6.8;9.2;4.4;4.9;0.1;4.2;3.6;7.3;7.1;3.2;6.1;4.7;7.8;9.2;6.4;7.8;6.5;6.4;High;17;2.0444444444444443;0;0;YES;0.30666666666666664;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Burundi;BDI;4.9;3.7;0;0;3.9;6.7;3.6;8.6;0;6;4.9;9.6;5.2;3.9;7.1;6.5;3.7;5.3;0.4;8.6;5.3;5.9;6.5;4.6;8;6.3;8;7.2;7.1;7.4;6.9;6;High;23;1.742222222222221;2;0.0392156862745098;;0.22666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Cabo Verde;CPV;0.1;0.1;0;0;3.1;4.7;1.5;0;0;0;0.8;5;4.7;4.1;4.7;0;1.1;1.5;0;5.3;2.2;1.2;3.1;3.4;4.3;3.9;3;3.2;4.7;3.6;3.8;2.1;Low;150;3.903030303030304;11;0.21568627450980393;;0.18181818181818182;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Cambodia;KHM;0.1;9.5;5.2;4;4.6;6.4;5.8;3.2;0;2.2;4.2;7.5;6.3;1.8;5.8;0;2.4;3.8;1.3;4.6;3.1;1.7;4;6.8;7.1;7;3.7;5.7;5.9;5.1;6.1;4.7;Medium;55;2.8931506849315074;4;0.0784313725490196;;0.3424657534246575;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Cameroon;CMR;0.1;6;0;0;3;7.8;3.6;9.3;9;9;7.1;7.9;6.5;1.2;5.9;9.3;5.7;4.2;0;2.2;3.3;7.3;6.7;2.6;7.1;4.9;5.6;8;7.2;6.9;6;6.6;Very High;12;3.0360360360360357;1;0.0196078431372549;YES;0.40540540540540543;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Canada;CAN;5.5;5.2;6.9;2.6;3.5;1.2;4.4;0.1;0;0.1;2.5;0;1.7;0;0.4;6.3;0.1;0.4;0;0.8;0.3;3.9;2.3;2.8;2;2.4;2.2;3;1.4;2.2;2.3;2.4;Low;135;4.394029850746268;12;0.23529411764705882;;0.22388059701492538;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Central African Republic;CAF;0.1;5.7;0;0;1;7.6;3.1;7.7;8;8;6.1;10;8.5;8.1;9.2;9.7;8.3;6.8;0.2;8.8;6.9;8.7;9;x;8;8;8.7;9.3;9.5;9.2;8.7;7.8;Very High;5;4.859154929577465;5;0.09803921568627451;YES;0.4788732394366197;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Chad;TCD;0.1;7.5;0;0;5.9;7;4.2;9.9;0;6.9;5.7;10;7;3.5;7.6;8.8;3.3;7.9;0;8.7;6;7.7;7.7;x;8.1;8.1;9;10;9.9;9.6;9;7.3;Very High;7;2.9446009389671355;4;0.0784313725490196;;0.352112676056338;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Chile;CHL;9.8;5.6;9.1;0;0.3;2.8;6.2;2.3;0;1.6;4.3;1.1;4.4;0;1.7;3.1;0.6;0.4;0;1.9;0.8;2;1.9;3.2;3.1;3.2;1.5;2.7;2.7;2.3;2.8;2.8;Low;123;3.352380952380952;8;0.1568627450980392;;0.22857142857142856;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
China;CHN;7.2;8.4;9.2;8.1;4.6;5.8;7.5;9;0;6.3;6.9;3.7;2.8;0;2.6;5.3;0.4;0.6;0.5;1.5;0.8;3.4;3;2.5;5;3.8;2.4;4;3.3;3.2;3.5;4.2;Medium;71;4.023188405797101;9;0.17647058823529413;;0.30434782608695654;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Colombia;COL;9.6;6.8;7.9;4.1;1.9;5.4;6.7;7.8;7;7;6.9;3.9;6;0.8;3.7;10;0.6;1;0.1;1.4;0.8;7.7;6.1;3;5.8;4.4;2.1;3.6;3.4;3;3.7;5.4;High;29;2.5777777777777766;4;0.0784313725490196;YES;0.18666666666666668;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Comoros;COM;0.1;0.1;5.5;2.9;0;5.5;2.7;0.4;0;0.3;1.6;7.9;5.1;3.3;6.1;0;2.8;4.5;10;6.8;7.1;4.4;5.3;7.8;7.9;7.9;6.4;5.8;6;6.1;7.1;3.9;Medium;84;4.187793427230046;5;0.09803921568627451;;0.5352112676056338;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Congo;COG;0.1;8.6;0;0;1;7;3.9;3.4;0;2.4;3.2;6.8;6.9;0.5;5.3;7.7;5.2;3.3;3.9;7.3;5.1;6.6;6;x;7.8;7.8;5.4;8.1;6.9;6.8;7.3;5.2;High;34;3.3826484018264837;2;0.0392156862745098;;0.5342465753424658;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Congo DR;COD;4.5;7.5;0;0;1.4;8.3;4.5;10;9;9;7.4;9.1;6.5;1.9;6.7;9.6;5.5;6;0.5;10;6.8;8.6;7.8;7.5;8.2;7.9;7.4;9.4;7.1;8;8;7.7;Very High;6;3.3693693693693696;2;0.0392156862745098;YES;0.40540540540540543;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Costa Rica;CRI;9.6;3.3;8.7;1.9;1;4.7;6;0.1;0;0.1;3.6;2.1;4.8;0.3;2.3;6.6;0.3;0.7;0.7;1.8;0.9;4.3;3.4;1.5;4.3;2.9;1.2;2;3.5;2.2;2.6;3.2;Low;105;3.0814814814814806;6;0.11764705882352941;;0.2777777777777778;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Côte d'Ivoire;CIV;0.1;5.6;4.6;0;1;7.7;3.8;8.7;0;6.1;5.1;8.3;6.5;0.8;6;7.1;6.1;4.5;0;4.3;4;5.8;5.9;7.8;6.3;7.1;5.1;7.3;7.2;6.5;6.8;5.9;High;24;1.9963963963963955;1;0.0196078431372549;;0.32432432432432434;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Croatia;HRV;5.9;6.5;7.7;0;3.5;2;4.8;0.8;0;0.6;3;1.3;1.5;1.1;1.3;1.5;0.1;0.4;1.5;1.8;1;1.3;1.3;4.4;4.7;4.6;1.9;0.2;1.9;1.3;3.1;2.3;Low;144;5.176470588235294;10;0.19607843137254902;;0.47058823529411764;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Cuba;CUB;5.8;3.6;5.7;8;4.3;5.1;5.6;1.5;0;1.1;3.7;1.6;4.2;1.5;2.2;0;0.3;0.4;0.2;0.7;0.4;0.2;1.3;2.5;5.4;4;3.1;1.8;0.5;1.8;3;2.4;Low;135;3.8606965174129364;10;0.19607843137254902;;0.22388059701492538;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Cyprus;CYP;8.7;0;6.4;0;2.8;2.4;4.3;0.1;0;0.1;2.5;0.5;1.4;0.4;0.7;9;0.1;0.2;0;3.5;1.1;6.5;4.2;x;3.7;3.7;1.3;0.1;2.2;1.2;2.5;3;Low;115;4.792039800995025;12;0.23529411764705882;;0.29850746268656714;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Czech Republic;CZE;0.9;5.3;0;0;1.4;1.2;1.7;0.1;0;0.1;0.9;0.2;0.9;0.3;0.4;2.2;0.1;0.3;0;1.5;0.5;1.4;0.9;2.5;3.8;3.2;2;0;0.6;0.9;2.1;1.2;Very Low;182;3.9838383838383837;11;0.21568627450980393;;0.19696969696969696;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Denmark;DNK;0.1;2.3;0;0;3.5;1.7;1.4;0;0;0;0.7;0;0.7;0.1;0.2;5.2;0.1;0.3;0;1.2;0.4;3.2;1.8;2.7;1.3;2;1.4;0;0.2;0.5;1.3;1.2;Very Low;182;3.144278606965174;10;0.19607843137254902;;0.08955223880597014;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Djibouti;DJI;5.3;0.4;8.5;0;8.1;4.8;5.4;1.5;0;1.1;3.5;8.1;4.1;2.9;5.8;6.3;2.4;5.6;10;6.2;7.1;6.7;6.3;5.5;6.9;6.2;5.5;6;6.2;5.9;6.1;5.1;High;41;3.1999999999999993;7;0.13725490196078433;;0.25;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Dominica;DMA;4;0.1;8.5;7.6;0;3.8;4.9;0;0;0;2.8;3.5;x;3;3.3;0;0.1;2.7;0;2.2;1.3;0.7;2.1;x;5.1;5.1;2.6;1.1;5.7;3.1;4.2;2.9;Low;120;4.888888888888888;21;0.4117647058823529;;0.16666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Dominican Republic;DOM;9.7;4.6;6.4;7.9;0.5;5.9;6.7;2.9;0;2;4.8;3.8;5.4;1;3.5;0.8;1.3;1.6;0.1;2.1;1.3;1.1;2.4;4.6;6.5;5.6;2.4;2.2;4.8;3.1;4.5;3.7;Medium;92;2.724324324324324;4;0.0784313725490196;;0.3108108108108108;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Ecuador;ECU;9.8;6.7;9.2;0;3.6;4.9;6.9;1.9;0;1.3;4.7;3.8;5.2;0.6;3.4;6.1;0.4;1.1;0;3.1;1.2;4.1;3.8;3;5.9;4.5;2.8;3.4;3.9;3.4;4;4.1;Medium;76;2.8684684684684676;4;0.0784313725490196;;0.33783783783783783;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Egypt;EGY;4.9;8.1;7.2;0;2.3;3.2;4.9;9.4;9;9;7.5;4.4;3.8;1.2;3.5;6.6;0.3;1.6;0;0.5;0.6;4.2;3.9;4.2;6.4;5.3;4;3.4;4.3;3.9;4.6;5.1;High;41;2.045045045045044;1;0.0196078431372549;YES;0.25675675675675674;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
El Salvador;SLV;9.7;3;8.2;3.7;3.6;5.7;6.5;4.6;0;3.2;5.1;5.2;4.4;2.9;4.4;6;1.2;1.1;3.5;2.9;2.2;4.4;4.4;5.2;6.3;5.8;2.9;2.2;4.5;3.2;4.6;4.7;Medium;55;2.9909909909909915;5;0.09803921568627451;;0.3108108108108108;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Equatorial Guinea;GNQ;0.1;4.4;0;0;3.3;6.8;2.9;2.6;0;1.8;2.4;6.2;x;0.1;4.2;0;6;3.9;0;4.3;3.8;2.1;3.2;x;8;8;4.9;6.6;7.5;6.3;7.2;3.8;Medium;89;4.410256410256411;11;0.21568627450980393;;0.27692307692307694;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Eritrea;ERI;3.4;3.1;0;0;7;5.9;3.7;3.8;0;2.7;3.2;9.3;x;0.4;6.3;1.1;1.6;6;0;5.5;3.7;2.5;4.7;x;8.1;8.1;7.2;9.7;5.5;7.5;7.8;4.9;Medium;51;5.195698924731183;14;0.27450980392156865;;0.27419354838709675;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Estonia;EST;0.1;3.6;0;0;0;1;0.9;0;0;0;0.5;0.4;1.3;0.3;0.6;1.2;0.7;0.2;0;1.6;0.6;0.9;0.8;x;2.6;2.6;1;0.1;1.5;0.9;1.8;0.9;Very Low;187;4.5494949494949495;11;0.21568627450980393;;0.30303030303030304;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Eswatini;SWZ;0.1;4.2;0;0.2;5.1;3.6;2.5;1.5;0;1.1;1.8;6.5;7.6;1.8;5.6;2.3;4.6;2.8;10;5.1;6.8;4.9;5.3;4.4;6.5;5.5;3.9;5.6;6.3;5.3;5.4;3.7;Medium;92;1.654794520547945;1;0.0196078431372549;;0.2602739726027397;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Ethiopia;ETH;4.8;5.7;0;0;5.2;7.4;4.4;9.7;0;6.8;5.7;9.4;4.7;1.8;6.3;8.5;3.2;4.5;0.3;5.5;3.6;6.7;6.5;2.9;6.3;4.6;7.5;9.8;7.3;8.2;6.8;6.3;High;18;1.3477477477477464;1;0.0196078431372549;;0.20270270270270271;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Fiji;FJI;3.5;0.1;8;3.1;2.4;3.4;3.9;0.1;0;0.1;2.2;3.5;3.9;2.5;3.4;0;5.5;2;6;1.8;4.1;2.3;2.9;0.1;4.5;2.3;2.4;3.3;4.4;3.4;2.9;2.6;Low;126;4.423529411764706;11;0.21568627450980393;;0.27941176470588236;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Finland;FIN;0.1;0.1;0;0;1.9;1.1;0.6;0;0;0;0.3;0;0.7;0.1;0.2;5;0.1;0.1;0;1.2;0.4;3;1.7;2.2;1.2;1.7;1.6;0.5;0.5;0.9;1.3;0.9;Very Low;187;4.127363184079602;11;0.21568627450980393;;0.22388059701492538;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
France;FRA;3.3;6.4;5.7;0;1.7;1.3;3.4;0.6;0;0.4;2;0.2;1.2;0.2;0.5;7.2;0.3;0.3;0;0.6;0.3;4.6;2.8;2.9;2.6;2.8;2.2;0;0.9;1;1.9;2.2;Low;147;3.4626865671641793;10;0.19607843137254902;;0.14925373134328357;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Gabon;GAB;0.1;4.8;0;0;1;6.5;2.5;6.3;0;4.4;3.5;5.5;5.2;0.8;4.3;1.2;6.7;2.4;0;4.3;3.8;2.6;3.5;6.7;6.8;6.8;2.7;6.2;6.3;5.1;6;4.2;Medium;71;3.0476190476190474;4;0.0784313725490196;;0.37142857142857144;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Gambia;GMB;0.1;3.5;3.6;0;3.2;6.3;3.1;1.5;0;1.1;2.2;8.7;5.5;5.2;7;3;2.6;3.4;0.3;3.6;2.6;2.8;5.3;3;6.3;4.7;5.8;5.7;7.1;6.2;5.5;4;Medium;79;1.441441441441441;0;0;;0.2702702702702703;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Georgia;GEO;7.9;5.1;0;0;5.5;4.7;4.5;4.8;0;3.4;4;1.4;3.8;3.1;2.4;8.8;0.9;0.5;0.1;3;1.2;6.3;4.6;4.7;4.1;4.4;1.8;1.1;2.3;1.7;3.2;3.9;Medium;84;2.652252252252252;4;0.0784313725490196;;0.2972972972972973;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Germany;DEU;4.3;6.1;0;0;1.4;1.4;2.5;0.1;0;0.1;1.4;0;1.4;0.1;0.4;8.3;0.1;0.2;0;0.8;0.3;5.6;3.4;2.7;1.9;2.3;1.5;0;0.4;0.6;1.5;1.9;Very Low;157;3.3700483091787445;8;0.1568627450980392;;0.2318840579710145;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Ghana;GHA;0.1;4.9;5.2;0;1.4;7.2;3.7;2.8;0;2;2.9;7.1;5.9;1.2;5.3;3.2;4.5;3.3;0.1;1.5;2.5;2.9;4.2;3.4;5.7;4.6;3.8;7;6;5.6;5.1;4;Medium;79;1.3511111111111127;0;0;;0.25333333333333335;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Greece;GRC;9.6;3.1;8.7;0;2.1;4.6;5.9;0.4;0;0.3;3.6;0.6;2;0.3;0.9;7.1;0.1;0.3;0;1.2;0.4;4.6;3;2.3;4.8;3.6;1.9;0;0.9;0.9;2.4;3;Low;115;4.470588235294119;10;0.19607843137254902;;0.3382352941176471;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Grenada;GRD;3.5;0.1;0;1.7;0.5;3.6;1.7;0;0;0;0.9;2.7;x;1.2;2.2;0;0;1.2;0;5.4;2;1;1.6;4.7;5.1;4.9;2.5;0.6;4.2;2.4;3.8;1.8;Very Low;161;4.946236559139785;19;0.37254901960784315;;0.1774193548387097;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Guatemala;GTM;9.8;5.1;7.4;4.5;3.8;5.6;6.7;6;0;4.2;5.6;6.7;6.2;1.9;5.4;7.1;1.1;2.4;6.7;4.1;3.9;5.7;5.6;5.5;6.9;6.2;3;4.4;5.4;4.3;5.3;5.5;High;28;2.844444444444444;4;0.0784313725490196;;0.3333333333333333;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Guinea;GIN;0.1;5.1;5.2;0;0.7;8;3.9;5.8;0;4.1;4;9.1;2.2;1.5;5.5;2.9;4.9;5.7;0;3.5;3.8;3.4;4.5;5;7;6;7.3;8.3;8.8;8.1;7.2;5.1;High;41;2.8694835680751174;4;0.0784313725490196;;0.3380281690140845;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Guinea-Bissau;GNB;0.1;3.3;1.5;0;2;7;2.7;3;0;2.1;2.4;9.2;6.4;3.6;7.1;2.1;5.9;5.1;0.2;5.1;4.4;3.3;5.5;7.8;8.1;8;7.9;8.1;7.2;7.7;7.9;4.7;Medium;55;3.2450704225352114;4;0.0784313725490196;;0.4084507042253521;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Guyana;GUY;0.1;4.8;6.7;0;4.1;4.9;3.8;0.4;0;0.3;2.2;4.5;6.6;1.8;4.4;0.9;3.8;2.1;0;1.9;2;1.5;3.1;x;5.8;5.8;4;4.1;5.1;4.4;5.1;3.3;Low;103;3.674074074074074;6;0.11764705882352941;;0.3888888888888889;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
