country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
Timor-Leste;TLS;6.3;1.7;6;3.6;2;6.1;4.6;1.2;0;0.8;2.9;7.4;0.9;4.3;5;0;6.4;5.9;0.7;7.9;5.8;3.4;4.2;6.3;6.6;6.5;4.7;5.9;6.1;5.6;6.1;4.2;Medium;71;3.7333333333333325;8;0.1568627450980392;;0.3;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Togo;TGO;0.1;4.3;0;0;2.9;7.4;3;2.5;0;1.8;2.4;8;6;2.3;6.1;3.8;4.3;4.4;0;5.4;3.8;3.8;5.1;9.2;7.1;8.2;6.6;8;6.5;7;7.7;4.6;Medium;60;1.8522522522522529;1;0.0196078431372549;;0.2972972972972973;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Tonga;TON;7.7;0.1;8;6.2;0.5;3.8;5.2;0;0;0;3;3.7;4.4;10;5.5;0;2.1;0.8;10;4.2;5.9;3.5;4.6;5.8;4.7;5.3;2.8;0.2;5.3;2.8;4.2;3.9;Medium;84;5.887179487179488;17;0.3333333333333333;;0.35384615384615387;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Trinidad and Tobago;TTO;6.3;0.3;0;2.4;3.1;4.9;3.2;0.2;0;0.1;1.8;1.7;4.3;0.2;2;5.2;0.2;1.3;2.7;1.7;1.5;3.6;2.8;4.4;5.3;4.9;1.4;0.4;1.8;1.2;3.3;2.6;Low;126;5.676190476190477;9;0.17647058823529413;;0.6142857142857143;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Tunisia;TUN;5.7;3.8;7.5;0;4.4;2.8;4.4;3.6;0;2.5;3.5;2.5;3;1.5;2.4;2;0.3;0.9;0.1;0.1;0.4;1.2;1.8;6.4;5.5;6;2.9;2.7;3.7;3.1;4.7;3.1;Low;108;2.0592592592592593;3;0.058823529411764705;;0.2361111111111111;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Turkey;TUR;9.7;5.7;7;0;2.8;6.2;6.2;9.9;9;9;7.9;1.9;4.2;0.5;2.1;9.4;0.1;0.6;0.1;0.1;0.2;6.8;4.9;2.1;5.6;3.9;2.3;1.8;3.2;2.4;3.2;5;High;47;3.417840375586855;8;0.1568627450980392;YES;0.11267605633802817;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Turkmenistan;TKM;3.3;6.4;0;0;4.7;5.6;3.7;0.4;0;0.3;2.2;2.3;x;0;1.5;0;0.3;2.1;0;1.8;1.1;0.6;1.1;x;7.6;7.6;2.5;3.3;2.6;2.8;5.7;2.4;Low;135;4.60497512437811;11;0.21568627450980393;;0.31343283582089554;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Tuvalu;TUV;0.1;0.1;8.3;0.1;0.5;4.2;3;0;0;0;1.6;4.4;3.5;7.6;5;0;7.5;1.9;0;4.2;4;2.2;3.7;x;6.4;6.4;3.9;0.6;6;3.5;5.1;3.1;Low;108;5.497076023391813;25;0.49019607843137253;;0.2807017543859649;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Uganda;UGA;4;5.1;0;0;6;7.8;4.4;9.2;0;6.4;5.5;8.3;5.8;2.6;6.3;8.8;6.4;3;0.3;9;5.7;7.6;7;x;6.7;6.7;6.3;9;6.2;7.2;7;6.5;Very High;14;2.1150684931506847;3;0.058823529411764705;;0.2465753424657534;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Ukraine;UKR;2.5;7.1;0;0;2.6;4.2;3.2;10;7;7;5.4;1.6;2.1;1.7;1.8;8;1.2;0.7;0.1;2.2;1.1;5.5;3.9;x;6.4;6.4;1.9;1.4;4;2.4;4.7;4.6;Medium;60;5.028985507246377;9;0.17647058823529413;YES;0.30434782608695654;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
