;country;iso2;iso3;region;wb_econ;anyprotect_dis;anyprotect_relig;anyprotect_race;anyprotect_politic;anyprotect_class;anyprotect_age;anyprotect_marital;anyprotect_parent;anyprotect_mig;anyprotect_fno;anyprotect_preg;anyprotect_sexor;anyprotect_genid;hir_dis;hir_relig;hir_race;hir_politic;hir_class;hir_age;hir_marital;hir_mig;hir_fno;hir_preg;hir_parent;hir_sexor;hir_genid;promdemo_dis;promdemo_relig;promdemo_race;promdemo_politic;promdemo_class;promdemo_age;promdemo_marital;promdemo_mig;promdemo_fno;promdemo_preg;promdemo_parent;promdemo_sexor;promdemo_genid;train_dis;train_relig;train_race;train_class;train_age;train_marital;train_preg;train_parent;train_sexor;train_genid;pay_dis;pay_relig;pay_race;pay_politic;pay_class;pay_age;pay_marital;pay_mig;pay_fno;pay_preg;pay_parent;pay_sexor;pay_genid;harass_dis;harass_relig;harass_race;harass_politic;harass_class;harass_age;harass_marital;harass_mig;harass_fno;term_gender;term_dis;term_relig;term_race;term_politic;term_class;term_age;term_marital;term_mig;term_fno;term_preg;term_parent;term_sexor;term_genid;indir_dis;indir_marital;indir_preg;indir_parent;indir_sexor;indir_genid;ret_dis;ret_relig;ret_race;ret_politic;ret_class;ret_age;ret_marital;ret_mig;ret_fno;ret_sexor;ret_genid;TIME_PERIOD
10;Azerbaijan;AZ;AZE;Europe & Central Asia;3;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;1;2;2;5;4;4;4;4;4;4;4;4;1;1;1;1;1;4;4;4;4;4;1;1;1;1;4;4;4;4;4;4;4;4;4;2;1;2;2;1;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;1;2;2;2;5;2;2;2;2;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1;2020.0
11;Bahamas;BS;BHS;Latin America & Caribbean;4;5;5;5;5;1;5;5;1;1;1;5;1;1;5;5;5;5;1;5;5;1;1;1;1;1;1;5;5;5;5;1;5;5;1;1;1;1;1;1;5;5;5;1;5;5;1;1;1;1;5;5;5;5;1;5;5;1;1;1;1;1;1;5;3;3;3;1;3;3;1;1;5;5;5;5;5;1;5;5;1;1;5;1;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;1.0;5.0;5.0;1.0;1.0;1.0;1;2020.0
12;Bahrain;BH;BHR;Middle East & North Africa;4;5;5;5;1;1;1;5;5;1;1;5;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;4;5;5;1;1;1;5;1;1;5;5;1;1;1;1;1;1;1;1;2.0;5.0;5.0;1.0;1.0;1.0;5.0;1.0;1.0;1.0;1;2020.0
13;Bangladesh;BD;BGD;South Asia;2;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
14;Barbados;BB;BRB;Latin America & Caribbean;4;5;5;5;5;5;5;5;1;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;1;5;5;1;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;1;2020.0
15;Belarus;BY;BLR;Europe & Central Asia;3;5;5;5;5;5;5;1;1;1;5;5;1;1;5;5;5;5;5;5;2;2;5;5;1;2;2;5;4;4;4;4;4;1;1;4;1;1;1;1;4;4;4;4;4;1;1;1;1;1;4;3;3;3;3;3;1;1;3;3;1;1;1;3;3;3;3;3;3;1;1;3;4;5;4;4;4;4;4;1;1;4;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1;2020.0
16;Belgium;BE;BEL;Europe & Central Asia;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;3;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5;2020.0
17;Belize;BZ;BLZ;Latin America & Caribbean;3;5;5;5;5;5;5;5;5;5;1;5;1;1;4;4;4;4;4;4;4;4;1;4;2;1;1;5;5;5;5;5;5;5;5;1;5;5;1;1;4;4;4;4;4;4;4;2;1;1;3;3;3;3;3;3;3;3;1;3;3;1;1;3;3;3;3;3;3;3;3;1;5;5;5;5;5;5;5;5;5;1;5;5;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1;2020.0
18;Benin;BJ;BEN;Sub-Saharan Africa;1;5;5;5;5;5;5;1;1;1;1;5;1;1;4;5;5;5;5;5;1;1;1;1;1;1;1;4;5;5;5;5;5;1;1;1;1;1;1;1;4;5;5;5;5;1;1;1;1;1;3;4;4;4;5;5;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;4;5;5;5;5;5;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
19;Bhutan;BT;BTN;South Asia;2;1;5;5;5;5;1;5;1;1;1;5;1;1;1;5;5;5;5;1;5;1;1;5;1;1;1;1;5;5;5;5;1;5;1;1;5;1;1;1;1;5;5;5;1;5;5;1;1;1;1;5;5;5;5;1;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;5;5;5;1;5;1;1;5;1;1;1;1;5;5;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;1.0;1.0;1;2020.0
20;Bolivia;BO;BOL;Latin America & Caribbean;2;5;5;5;5;1;5;5;1;5;1;1;1;1;5;5;5;5;2;5;5;2;2;2;1;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5;2020.0
21;Bosnia and Herzegovina;BA;BIH;Europe & Central Asia;3;5;5;5;5;5;1;5;5;1;5;5;5;1;5;5;5;5;5;2;5;2;5;5;5;5;2;5;5;5;5;5;2;5;2;5;5;5;5;2;5;5;5;5;2;5;5;5;5;2;3;4;4;4;4;2;3;2;4;4;3;4;2;5;5;5;5;5;2;4;2;5;5;5;5;5;5;5;2;5;2;5;5;5;5;2;5;2;2;2;5;2;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;5.0;1;2020.0
22;Botswana;BW;BWA;Sub-Saharan Africa;3;5;5;5;1;5;1;5;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;2;5;2;5;2;5;2;1;5;2;1;1;1;1;1;1;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;5.0;1;2020.0
23;Brazil;BR;BRA;Latin America & Caribbean;3;5;5;5;1;1;5;5;5;5;5;5;1;1;5;5;5;2;2;5;5;2;5;5;5;2;2;5;1;5;1;1;5;1;1;5;5;5;1;1;5;1;5;1;5;1;1;5;1;1;5;1;4;1;1;5;1;5;4;1;5;1;1;1;1;1;1;1;1;1;1;1;5;5;2;5;2;2;5;5;2;2;5;5;2;2;1;1;1;1;1;1;;2.0;;1.0;1.0;;;;2.0;1.0;1;2020.0
24;Brunei;BN;BRN;East Asia & Pacific;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
25;Bulgaria;BG;BGR;Europe & Central Asia;3;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;1;5;5;5;4;4;4;4;4;4;4;4;2;2;5;4;4;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5;2020.0
26;Burkina Faso;BF;BFA;Sub-Saharan Africa;1;5;5;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;5;2;2;2;5;5;1;2;2;4;4;4;4;4;1;1;1;4;4;1;1;1;5;5;5;5;2;2;5;1;2;2;4;3;3;3;4;4;1;1;3;3;1;1;1;5;3;3;3;3;1;1;1;3;5;5;5;5;5;5;2;5;2;5;5;5;2;2;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;1;2020.0
27;Burundi;BI;BDI;Sub-Saharan Africa;1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;5;5;5;5;1;1;1;1;1;1;1;1;1;5;5;5;5;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;1;4;4;4;4;4;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;5;1;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
28;Cambodia;KH;KHM;East Asia & Pacific;2;5;5;5;5;5;5;1;5;5;1;1;1;1;5;5;5;5;5;1;1;5;1;1;5;1;1;4;5;5;5;5;1;1;1;1;1;1;1;1;4;5;5;5;1;1;1;1;1;1;3;4;4;4;4;5;1;1;1;1;1;1;1;4;2;2;2;2;2;2;5;2;5;5;5;5;5;5;1;1;5;1;1;5;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
29;Cameroon;CM;CMR;Sub-Saharan Africa;2;5;5;5;1;5;5;1;1;1;1;1;1;1;5;5;5;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;4;4;1;1;4;4;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
30;Canada;CA;CAN;North America;4;5;5;5;1;1;5;5;5;1;5;1;5;1;5;5;5;1;1;5;5;1;5;1;5;5;1;5;5;5;1;1;5;5;1;5;1;5;5;1;5;5;5;1;5;5;1;5;5;1;3;3;3;1;1;3;3;1;3;1;3;3;1;5;5;5;1;1;5;5;1;5;5;5;5;5;1;1;5;5;1;5;1;5;5;1;5;5;1;5;5;1;5.0;5.0;5.0;1.0;1.0;5.0;5.0;1.0;5.0;5.0;1;2020.0
31;Cabo Verde;CV;CPV;Sub-Saharan Africa;2;1;5;5;5;5;1;1;5;5;5;5;5;1;2;5;5;5;5;2;2;4;5;5;5;2;2;1;5;5;5;4;1;1;4;5;1;5;1;1;1;4;4;4;1;1;1;1;1;1;2;4;4;4;4;2;2;3;2;2;1;2;2;2;5;5;5;5;2;2;4;2;5;2;5;5;5;5;2;2;5;5;5;5;5;2;1;1;1;1;1;1;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;;2.0;1;2020.0
32;Central African Republic;CF;CAF;Sub-Saharan Africa;1;5;5;5;5;1;5;1;1;5;1;1;1;1;5;4;4;4;1;1;1;4;1;1;1;1;1;4;5;4;5;1;1;1;4;1;1;1;1;1;5;5;5;2;2;2;2;1;2;2;4;4;4;4;2;4;2;4;2;2;1;2;2;3;5;3;5;1;1;1;3;1;4;4;4;4;4;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;1.0;1;2020.0
33;Chad;TD;TCD;Sub-Saharan Africa;1;1;5;1;5;1;5;1;1;5;1;5;1;1;1;5;1;5;1;5;1;5;1;1;1;1;1;1;5;1;5;1;5;1;5;1;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;4;1;4;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;1;1;1;1.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
34;Chile;CL;CHL;Latin America & Caribbean;4;5;5;5;5;5;5;5;1;5;5;5;1;1;4;5;5;5;5;5;5;5;5;5;1;1;1;4;4;4;4;4;4;4;4;4;5;1;1;1;4;4;4;4;4;4;1;1;1;1;3;3;3;3;3;3;3;3;3;1;1;1;1;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1;2020.0
35;China;CN;CHN;East Asia & Pacific;3;5;5;5;1;1;1;1;1;1;1;5;1;1;5;5;5;2;2;2;2;2;2;2;1;2;2;5;4;4;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;1;4;3;3;2;2;2;2;2;2;2;1;2;2;3;3;3;1;1;1;1;1;1;4;4;4;4;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
36;Colombia;CO;COL;Latin America & Caribbean;3;5;5;5;5;5;5;1;1;5;5;5;5;1;4;4;4;4;4;5;1;4;4;1;1;4;1;4;4;4;4;4;4;1;4;4;1;1;4;1;4;4;4;4;4;1;1;1;4;1;3;5;5;5;3;5;1;5;3;1;1;3;1;5;5;5;5;5;5;2;5;5;4;4;4;4;4;4;4;1;4;4;5;1;4;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;5.0;5.0;1.0;2.0;5.0;2.0;1;2020.0
37;Comoros;KM;COM;Sub-Saharan Africa;1;1;5;5;5;5;1;5;5;5;5;5;1;1;1;5;5;5;5;1;1;1;5;1;1;1;1;1;5;5;5;5;1;1;1;5;1;1;1;1;1;5;5;5;1;1;1;1;1;1;2;5;5;5;5;2;2;2;5;2;1;2;2;2;5;5;5;5;2;2;2;5;5;1;5;5;5;5;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;1.0;1;2020.0
38;Democratic Republic of the Congo;CD;COD;Sub-Saharan Africa;1;5;5;5;5;5;5;5;5;1;5;5;1;1;5;1;1;1;1;1;5;1;1;5;5;1;1;1;1;1;1;1;1;5;1;1;5;5;1;1;5;1;1;1;1;4;4;2;1;1;1;1;1;1;1;4;4;1;1;4;5;1;1;2;2;2;2;2;2;4;2;2;5;1;5;5;5;5;1;5;1;5;5;5;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;2.0;1.0;5.0;1.0;1;2020.0
39;Republic of the Congo;CG;COG;Sub-Saharan Africa;2;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;4;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
40;Costa Rica;CR;CRI;Latin America & Caribbean;3;5;5;5;5;5;5;5;1;1;5;5;5;1;5;5;5;5;5;5;5;2;5;5;1;5;2;4;4;4;4;4;4;4;1;4;5;1;4;1;4;4;4;4;4;4;4;1;4;1;4;4;4;4;4;4;4;2;4;4;1;4;2;3;3;3;3;3;3;3;1;3;5;5;5;5;5;5;5;5;2;5;5;1;5;2;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;1;2020.0
41;Cote d'Ivoire;CI;CIV;Sub-Saharan Africa;2;5;5;5;5;5;5;1;1;1;5;5;1;1;5;5;5;5;5;5;1;1;5;5;1;1;1;5;5;5;5;5;5;1;1;5;1;1;1;1;5;5;5;5;5;1;1;1;1;1;4;5;5;5;5;5;1;1;5;1;1;1;1;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;1;1;5;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1;2020.0
42;Croatia;HR;HRV;Europe & Central Asia;4;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;5;1;3;5;5;5;3;5;5;5;5;5;5;5;2;5;4;4;4;4;4;4;4;4;1;4;5;2;4;4;5;5;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5;2020.0
43;Cuba;CU;CUB;Latin America & Caribbean;3;5;5;5;1;1;1;1;1;1;5;1;5;1;4;4;4;1;1;1;1;1;4;1;1;4;1;4;4;4;1;1;1;1;1;4;1;1;4;1;4;4;4;1;1;1;1;1;4;1;4;4;4;2;2;2;2;2;4;2;1;4;2;3;3;3;1;1;1;1;1;3;4;4;4;4;1;1;1;1;1;4;1;1;4;1;1;1;1;1;1;1;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1;2020.0
44;Cyprus;CY;CYP;Europe & Central Asia;4;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;1;5;5;5;5;1;5;5;5;5;1;5;5;1;5;5;5;5;1;5;5;5;1;5;5;5;5;5;1;4;4;4;4;1;4;3;4;4;5;3;4;1;5;5;5;1;1;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;1;5.0;5.0;5.0;2.0;;5.0;5.0;2.0;2.0;5.0;1;2020.0
45;Czech Republic;CZ;CZE;Europe & Central Asia;4;5;5;5;5;5;5;5;5;5;1;5;5;5;4;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;3;3;5;3;5;1;4;4;4;4;4;4;4;4;4;1;5;2;4;4;5;5;5;5;5;5;5.0;5.0;5.0;2.0;2.0;5.0;2.0;5.0;1.0;5.0;5;2020.0
46;Denmark;DK;DNK;Europe & Central Asia;4;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;1;5.0;5.0;5.0;5.0;5.0;5.0;2.0;1.0;5.0;5.0;1;2020.0
47;Djibouti;DJ;DJI;Middle East & North Africa;2;5;5;5;5;5;5;1;5;5;5;1;1;1;5;5;5;5;5;5;1;5;5;1;5;1;1;5;5;5;5;5;5;1;5;5;1;5;1;1;4;5;5;5;5;1;1;1;1;1;3;5;4;4;5;5;1;4;4;1;1;1;1;3;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;1;5;5;1;5;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;2.0;2.0;1.0;2.0;5.0;1.0;1;2020.0
48;Dominica;DM;DMA;Latin America & Caribbean;3;1;5;5;5;5;1;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;5;5;5;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;1;2020.0
