;ATTR_SOURCE_OF_SOURCE;COUNTRY_NAME;RAW_OBS_VALUE;RAW_OBS_VALUE;RAW_OBS_VALUE;RAW_OBS_VALUE;TIME_PERIOD;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
10;;;0;0;0;0;2023.0;;AZE;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
11;;;0;0;0;0;2023.0;;BHS;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
12;;;0;0;0;0;2023.0;;BHR;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
13;;;0;0;0;0;2023.0;;BGD;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
14;;;0;0;0;0;2023.0;;BRB;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
15;;;0;0;0;0;2023.0;;BLR;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
16;;;0;0;0;0;2023.0;;BEL;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
17;;;0;0;0;0;2023.0;;BLZ;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
18;;;0;0;0;0;2023.0;;BEN;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
19;;;0;0;0;0;2023.0;;BTN;right_only;Climate change contributions;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_CLCHCO;https://www.climatewatchdata.org/ndcs-explore;Climate Watch;Whether the country has submitted an Intended Nationally Determined Contribution (INDC) under the Paris Agreement;;;;CAIT Climate Data Explorer, Paris Contributions, INDC: ;https://www.climatewatchdata.org/api/v1/data/ndc_content?category_ids[]=29884&indicator_ids[]=286571&indicator_ids[]=286570;2023;2=Yes it has NDC, 1=No it has not submitted an NCD and/or is not a signatory to the paris agreement and/or it has only submitted an INDC, 0=No data
