;COUNTRY_ISO_3;_merge;TIME_PERIOD;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
19;BTN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
20;BOL;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
21;BIH;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
22;BWA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
23;BRA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
24;BRN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
25;BGR;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
26;BFA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
27;BDI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
28;CPV;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
29;KHM;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
30;CMR;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
31;CAN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
32;CAF;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
33;TCD;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
34;CHL;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
35;CHN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
36;COL;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
37;COM;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
38;COG;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
39;COD;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
40;CRI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
41;CIV;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
42;HRV;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
43;CUB;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
44;CYP;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
45;CZE;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
46;DNK;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
47;DNK;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
48;DJI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
49;DMA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
50;DOM;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
51;ECU;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
52;EGY;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
53;SLV;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
54;GNQ;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
55;ERI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
56;EST;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
