;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
0;2021.0;VALUE WITHOUT MAPPING - PLEASE MAP;AFG;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
1;2021.0;3;ALB;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
2;2021.0;3;AND;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
3;2021.0;3;DZA;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
4;2021.0;3;AGO;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
5;2021.0;3;ATG;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
6;2021.0;3;ARG;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
7;2021.0;3;ARM;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
8;2021.0;3;AUS;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
9;2021.0;3;AUT;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
10;2021.0;3;AZE;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
11;2021.0;3;BHS;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
12;2021.0;3;BHR;both;Online consumer protection;Marketplace;Product Safety;Legal framework national;MP_PS_LF_ONCOPR;https://unctad.org/en/Pages/DTL/STI_and_ICTs/ICT4D-Legislation/eCom-Consumer-Protection-Laws.aspx;UNCTAD;Does the country have online consumer protection legislation?;;;;E-transaction Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
