;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
10;_T;;;2023.0;;;;_T;;AZE;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
11;_T;;;2023.0;;;;_T;;BHS;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
12;_T;;;2023.0;;;;_T;;BHR;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
13;_T;;;2023.0;;;;_T;;BGD;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
14;_T;;;2023.0;;;;_T;;BRB;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
15;_T;;;2023.0;;;;_T;;BLR;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
16;12.5.1;Electronic waste recycling, per capita (Kg);Belgium;2018.0;11.05;Eurostat;[''];Global;BE;BEL;both;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
17;_T;;;2023.0;;;;_T;;BLZ;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
18;_T;;;2023.0;;;;_T;;BEN;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
19;_T;;;2023.0;;;;_T;;BTN;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
20;_T;;;2023.0;;;;_T;;BOL;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
21;_T;;;2023.0;;;;_T;;BIH;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
