;TIME_PERIOD;RAW_OBS_VALUE;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
17;2021.0;3;BLZ;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
18;2021.0;3;BEN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
19;2021.0;3;BTN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
20;2021.0;1;BOL;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
21;2021.0;3;BIH;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
22;2021.0;3;BWA;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
23;2021.0;3;BRA;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
24;2021.0;1;BRN;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
25;2021.0;3;BGR;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
26;2021.0;1;BFA;both;Consumer protection law;Marketplace;Product Safety;Legal framework national;MP_PS_LF_COPRLA;http://unctad.org/en/Docs/Cyberlaw/CP.xlsx;UNCTAD;Existence of a consumer protection framework law ;;;;Consumer Protection Legislation Worldwide;nan;2023;"3=Legislation; 2=Draft Legislation; 1=No Legislation; 0=No Data"
